Sample no,RSN,fc_MPa,fy_MPa,Beam_Area_m2,Col_Area_m2,Bay_Width_X_m,Bay_Width_Y_m,Bay_Width_Z_m,No_of_bay_X,No_of_bay_Y,No_of_bay_Z,Plinth_Area_m2,Aspect Ratio,Reinforcement Ratio,T mean (sec),Max Aceleration (g),Max Velocity (cm/sec),Vmax/Amax (sec),Acceleration RMS (g),Velocity RMS (cm/sec),Arias Intensity,Cum. Abs. Velocity (cm/sec),Predominant Period (sec),Significant Duration (sec),Sa_T1 (g),Initial_T1 (s),Initial_T2 (s),Initial_T3 (s),Final_T1 (s),Final_T2 (s),Final_T3 (s),max_base_shear_kN,MIDR_1st_floor,MIDR_2nd_floor,MIDR_3rd_floor,MIDR_4th_floor,MIDR_all_floor,Max_Park_Ang_DI_storey,Park_Ang_DI
226,139,20.0,415.0,0.07475,0.0529,3.6,4.5,3.0,2,2,2,64.8,0.8,0.0085518,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.86715,0.54591,0.51729,0.46451,0.85198,0.68148,0.64668,244.118,1.664,1.162,0.0,0.0,1.664,39.468,38.295
201,139,20.0,415.0,0.07475,0.0529,4.5,3.6,2.75,3,2,2,97.2,1.875,0.0085518,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.91855,0.49705,0.48888,0.43185,0.81995,0.66706,0.65114,363.006,1.821,0.89,0.0,0.0,1.821,58.84,58.028
206,1052,20.0,415.0,0.07475,0.0529,3.6,3.6,3.2,3,2,2,77.76,1.5,0.0085518,0.5182,0.41381,50.58513,0.12461,0.05943,6.64182,2.17624,1281.62753,0.16,11.14,0.82429,0.55426,0.53043,0.47749,0.94081,0.74191,0.72562,308.589,1.738,1.026,0.0,0.0,1.738,41.914,41.33
224,962,20.0,415.0,0.07475,0.0529,4.5,4.5,3.2,2,2,2,81.0,1.0,0.0085518,0.6325,0.40818,51.37601,0.1283,0.10843,13.27285,7.243,3140.96484,0.92,29.4,0.89265,0.65841,0.64147,0.57128,2.82475,1.30179,1.15369,259.298,5.38,1.373,0.0,0.0,5.38,100.0,100.0
210,139,20.0,415.0,0.07475,0.0529,3.6,4.5,2.75,3,2,2,97.2,1.2,0.0085518,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.86947,0.5107,0.47477,0.43189,0.78145,0.62895,0.6106,362.561,1.794,1.016,0.0,0.0,1.794,55.907,54.47
226,949,20.0,415.0,0.07475,0.0529,3.6,4.5,3.0,2,2,2,64.8,0.8,0.0085518,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,0.92946,0.54591,0.51729,0.46451,0.92188,0.7025,0.67429,268.838,3.868,1.103,0.0,0.0,3.868,100.0,100.0
224,1045,20.0,415.0,0.07475,0.0529,4.5,4.5,3.2,2,2,2,81.0,1.0,0.0085518,1.0312,0.67999,62.38249,0.09352,0.07601,17.70292,2.22366,1180.35554,0.2,11.93,0.88226,0.65841,0.64147,0.57128,0.99753,0.83045,0.79255,260.651,5.216,1.184,0.0,0.0,5.216,100.0,100.0
215,1052,20.0,415.0,0.07475,0.0529,2.6,4.5,3.2,3,2,2,70.2,0.86667,0.0085518,0.5182,0.41381,50.58513,0.12461,0.05943,6.64182,2.17624,1281.62753,0.16,11.14,0.83541,0.54517,0.49349,0.44895,0.91824,0.67732,0.65293,304.581,1.655,1.001,0.0,0.0,1.655,38.806,38.408
226,960,20.0,415.0,0.07475,0.0529,3.6,4.5,3.0,2,2,2,64.8,0.8,0.0085518,0.6213,0.40079,35.57329,0.09048,0.08888,10.69833,2.43195,1118.51994,0.42,7.97,0.84329,0.54591,0.51729,0.46451,0.92798,0.69634,0.66889,257.841,2.849,0.947,0.0,0.0,2.849,100.0,100.0
224,1052,20.0,415.0,0.07475,0.0529,4.5,4.5,3.2,2,2,2,81.0,1.0,0.0085518,0.5182,0.41381,50.58513,0.12461,0.05943,6.64182,2.17624,1281.62753,0.16,11.14,0.67842,0.65841,0.64147,0.57128,1.08645,0.85682,0.83279,228.087,1.714,1.292,0.0,0.0,1.714,40.605,38.887
220,4458,20.0,415.0,0.07475,0.0529,4.5,3.6,3.0,2,2,2,64.8,1.25,0.0085518,0.6677,0.38747,44.70002,0.1176,0.07711,10.07204,4.41474,2330.54859,0.38,19.67,0.89501,0.53205,0.53135,0.46773,0.91719,0.72435,0.71639,254.062,2.675,0.842,0.0,0.0,2.675,100.0,100.0
217,949,20.0,415.0,0.07475,0.0529,2.6,3.6,3.0,3,3,2,84.24,0.72222,0.0085518,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,0.90735,0.45562,0.4297,0.38251,0.77648,0.5907,0.55499,463.947,2.876,0.911,0.0,0.0,2.876,100.0,100.0
226,962,20.0,415.0,0.07475,0.0529,3.6,4.5,3.0,2,2,2,64.8,0.8,0.0085518,0.6325,0.40818,51.37601,0.1283,0.10843,13.27285,7.243,3140.96484,0.92,29.4,0.85854,0.54591,0.51729,0.46451,0.79975,0.67639,0.62813,273.519,4.772,1.151,0.0,0.0,4.772,100.0,100.0
204,3749,20.0,415.0,0.07475,0.0529,3.6,3.6,2.75,3,2,2,77.76,1.5,0.0085518,0.6478,0.44077,67.62446,0.1564,0.09458,15.31657,3.8952,1876.39026,0.34,17.86,0.86732,0.4495,0.42996,0.3872,0.70873,0.56577,0.56444,369.908,2.219,0.843,0.0,0.0,2.219,100.0,100.0
220,4863,20.0,415.0,0.07475,0.0529,4.5,3.6,3.0,2,2,2,64.8,1.25,0.0085518,0.5093,0.34576,33.74547,0.09949,0.05994,7.41925,3.32128,1991.93991,0.16,22.06,0.85338,0.53205,0.53135,0.46773,0.89584,0.7105,0.70869,247.328,1.661,0.972,0.0,0.0,1.661,73.952,73.644
201,334,20.0,415.0,0.07475,0.0529,4.5,3.6,2.75,3,2,2,97.2,1.875,0.0085518,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.78988,0.49705,0.48888,0.43185,0.85791,0.68856,0.65974,384.988,3.491,0.846,0.0,0.0,3.491,100.0,100.0
208,962,20.0,415.0,0.07475,0.0529,3.6,2.6,3.0,3,3,2,84.24,1.38462,0.0085518,0.6325,0.40818,51.37601,0.1283,0.10843,13.27285,7.243,3140.96484,0.92,29.4,0.894,0.44328,0.44228,0.38644,0.68418,0.58938,0.56237,470.293,3.647,0.618,0.0,0.0,3.647,100.0,100.0
217,960,20.0,415.0,0.07475,0.0529,2.6,3.6,3.0,3,3,2,84.24,0.72222,0.0085518,0.6213,0.40079,35.57329,0.09048,0.08888,10.69833,2.43195,1118.51994,0.42,7.97,0.98025,0.45562,0.4297,0.38251,0.73857,0.58168,0.54445,440.843,2.062,0.673,0.0,0.0,2.062,83.873,83.873
226,990,20.0,415.0,0.07475,0.0529,3.6,4.5,3.0,2,2,2,64.8,0.8,0.0085518,0.4473,0.43521,33.62016,0.07875,0.07258,6.82335,3.24617,1693.71221,0.1,14.71,0.84943,0.54591,0.51729,0.46451,0.91032,0.69397,0.66387,243.703,1.625,0.994,0.0,0.0,1.625,60.091,59.772
210,334,20.0,415.0,0.07475,0.0529,3.6,4.5,2.75,3,2,2,97.2,1.2,0.0085518,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.78786,0.5107,0.47477,0.43189,0.87262,0.64662,0.64365,384.96,3.569,0.944,0.0,0.0,3.569,100.0,100.0
233,998,20.0,415.0,0.07475,0.0529,3.6,2.6,3.2,5,2,3,93.6,3.46154,0.0085518,0.5345,0.39747,45.61678,0.11699,0.07765,8.98781,2.78549,1418.06102,0.24,11.33,0.89829,0.7062,0.68773,0.6255,1.19821,1.03479,0.95861,469.876,2.591,1.304,1.28,0.0,2.591,87.075,73.685
226,998,20.0,415.0,0.07475,0.0529,3.6,4.5,3.0,2,2,2,64.8,0.8,0.0085518,0.5345,0.39747,45.61678,0.11699,0.07765,8.98781,2.78549,1418.06102,0.24,11.33,0.87483,0.54591,0.51729,0.46451,0.92138,0.69854,0.6658,263.691,3.253,0.858,0.0,0.0,3.253,100.0,100.0
227,5676,20.0,415.0,0.07475,0.0529,3.6,4.5,3.2,2,2,2,64.8,0.8,0.0085518,1.0868,0.36297,64.30775,0.1806,0.03359,6.70954,3.42428,2456.76874,1.26,20.96,0.80053,0.59634,0.56549,0.50764,1.03562,0.77619,0.75113,254.354,4.392,1.055,0.0,0.0,4.392,100.0,100.0
226,1045,20.0,415.0,0.07475,0.0529,3.6,4.5,3.0,2,2,2,64.8,0.8,0.0085518,1.0312,0.67999,62.38249,0.09352,0.07601,17.70292,2.22366,1180.35554,0.2,11.93,0.86246,0.54591,0.51729,0.46451,0.90332,0.69381,0.66658,277.313,4.83,0.995,0.0,0.0,4.83,100.0,100.0
201,410,20.0,415.0,0.07475,0.0529,4.5,3.6,2.75,3,2,2,97.2,1.875,0.0085518,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.88624,0.49705,0.48888,0.43185,0.79606,0.64925,0.63825,355.219,1.451,0.77,0.0,0.0,1.451,44.214,44.12
222,3282,20.0,415.0,0.07475,0.0529,4.5,4.5,2.75,2,2,2,81.0,1.0,0.0085518,1.1888,0.32222,68.54745,0.21686,0.05707,12.07112,4.86884,2558.18179,1.48,21.616,0.86633,0.5353,0.52196,0.4647,0.92546,0.71881,0.71195,317.29,6.634,0.976,0.0,0.0,6.634,100.0,100.0
224,2476,20.0,415.0,0.07475,0.0529,4.5,4.5,3.2,2,2,2,81.0,1.0,0.0085518,1.546,0.36627,70.20761,0.19539,0.0551,16.95212,4.11719,2750.56367,1.7,39.07,0.80453,0.65841,0.64147,0.57128,1.14411,0.88767,0.87233,264.929,6.096,1.007,0.0,0.0,6.096,100.0,100.0
235,410,20.0,415.0,0.07475,0.0529,2.6,2.6,3.0,5,2,3,67.6,2.5,0.0085518,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.80424,0.55855,0.52624,0.49114,0.93781,0.78169,0.7149,441.893,1.006,0.902,0.661,0.0,1.006,9.378,8.428
226,1052,20.0,415.0,0.07475,0.0529,3.6,4.5,3.0,2,2,2,64.8,0.8,0.0085518,0.5182,0.41381,50.58513,0.12461,0.05943,6.64182,2.17624,1281.62753,0.16,11.14,0.83567,0.54591,0.51729,0.46451,0.91986,0.69435,0.66885,249.203,1.847,1.098,0.0,0.0,1.847,53.779,52.694
210,410,20.0,415.0,0.07475,0.0529,3.6,4.5,2.75,3,2,2,97.2,1.2,0.0085518,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.88585,0.5107,0.47477,0.43189,0.80547,0.6222,0.61378,351.678,1.446,0.843,0.0,0.0,1.446,42.73,42.45
208,990,20.0,415.0,0.07475,0.0529,3.6,2.6,3.0,3,3,2,84.24,1.38462,0.0085518,0.4473,0.43521,33.62016,0.07875,0.07258,6.82335,3.24617,1693.71221,0.1,14.71,0.88818,0.44328,0.44228,0.38644,0.74884,0.59942,0.5957,426.815,1.361,0.733,0.0,0.0,1.361,51.689,51.681
217,962,20.0,415.0,0.07475,0.0529,2.6,3.6,3.0,3,3,2,84.24,0.72222,0.0085518,0.6325,0.40818,51.37601,0.1283,0.10843,13.27285,7.243,3140.96484,0.92,29.4,0.88221,0.45562,0.4297,0.38251,0.6929,0.57841,0.52998,472.235,3.756,0.691,0.0,0.0,3.756,100.0,100.0
201,496,20.0,415.0,0.07475,0.0529,4.5,3.6,2.75,3,2,2,97.2,1.875,0.0085518,0.5113,0.54052,34.53304,0.06513,0.09349,8.53915,1.34355,635.35772,0.04,5.5425,0.95197,0.49705,0.48888,0.43185,0.77061,0.64154,0.63441,371.24,2.196,0.942,0.0,0.0,2.196,80.271,79.437
227,5814,20.0,415.0,0.07475,0.0529,3.6,4.5,3.2,2,2,2,64.8,0.8,0.0085518,1.1555,0.43933,77.31974,0.1794,0.05299,17.36752,5.19233,3469.22218,0.44,46.93,0.94324,0.59634,0.56549,0.50764,1.02273,0.7667,0.73948,243.054,2.968,0.994,0.0,0.0,2.968,100.0,100.0
210,496,20.0,415.0,0.07475,0.0529,3.6,4.5,2.75,3,2,2,97.2,1.2,0.0085518,0.5113,0.54052,34.53304,0.06513,0.09349,8.53915,1.34355,635.35772,0.04,5.5425,0.93943,0.5107,0.47477,0.43189,0.79042,0.6319,0.61203,369.438,2.125,1.005,0.0,0.0,2.125,75.841,74.755
233,1045,20.0,415.0,0.07475,0.0529,3.6,2.6,3.2,5,2,3,93.6,3.46154,0.0085518,1.0312,0.67999,62.38249,0.09352,0.07601,17.70292,2.22366,1180.35554,0.2,11.93,0.86916,0.7062,0.68773,0.6255,1.07766,0.94008,0.92382,501.952,3.989,1.417,1.317,0.0,3.989,100.0,100.0
229,4458,20.0,415.0,0.07475,0.0529,2.6,2.6,3.0,6,2,3,81.12,3.0,0.0085518,0.6677,0.38747,44.70002,0.1176,0.07711,10.07204,4.41474,2330.54859,0.38,19.67,0.93841,0.56548,0.53014,0.50334,0.96878,0.83453,0.75928,573.678,1.984,1.021,1.219,0.0,1.984,100.0,97.345
204,4199,20.0,415.0,0.07475,0.0529,3.6,3.6,2.75,3,2,2,77.76,1.5,0.0085518,1.1607,0.29655,67.41968,0.23175,0.05829,12.40885,6.28079,3898.87191,1.64,33.48,0.74726,0.4495,0.42996,0.3872,0.77542,0.60319,0.58485,362.407,2.12,0.817,0.0,0.0,2.12,100.0,100.0
201,949,20.0,415.0,0.07475,0.0529,4.5,3.6,2.75,3,2,2,97.2,1.875,0.0085518,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,1.0154,0.49705,0.48888,0.43185,0.84947,0.68859,0.66305,396.942,3.944,0.947,0.0,0.0,3.944,100.0,100.0
215,2476,20.0,415.0,0.07475,0.0529,2.6,4.5,3.2,3,2,2,70.2,0.86667,0.0085518,1.546,0.36627,70.20761,0.19539,0.0551,16.95212,4.11719,2750.56367,1.7,39.07,0.7958,0.54517,0.49349,0.44895,0.94276,0.69301,0.6654,319.742,3.166,0.973,0.0,0.0,3.166,100.0,100.0
208,998,20.0,415.0,0.07475,0.0529,3.6,2.6,3.0,3,3,2,84.24,1.38462,0.0085518,0.5345,0.39747,45.61678,0.11699,0.07765,8.98781,2.78549,1418.06102,0.24,11.33,0.99632,0.44328,0.44228,0.38644,0.75953,0.60637,0.59734,456.936,2.476,0.647,0.0,0.0,2.476,81.511,81.511
210,949,20.0,415.0,0.07475,0.0529,3.6,4.5,2.75,3,2,2,97.2,1.2,0.0085518,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,1.05935,0.5107,0.47477,0.43189,0.84918,0.64305,0.63847,396.336,3.995,1.044,0.0,0.0,3.995,100.0,100.0
201,960,20.0,415.0,0.07475,0.0529,4.5,3.6,2.75,3,2,2,97.2,1.875,0.0085518,0.6213,0.40079,35.57329,0.09048,0.08888,10.69833,2.43195,1118.51994,0.42,7.97,0.85756,0.49705,0.48888,0.43185,0.81904,0.66577,0.64976,382.572,3.126,0.687,0.0,0.0,3.126,100.0,100.0
206,2510,20.0,415.0,0.07475,0.0529,3.6,3.6,3.2,3,2,2,77.76,1.5,0.0085518,1.429,0.33066,81.03706,0.24983,0.07696,21.19063,8.21312,4268.57423,1.94,41.028,0.76802,0.55426,0.53043,0.47749,0.96206,0.76133,0.74328,327.698,3.785,0.857,0.0,0.0,3.785,100.0,100.0
220,5117,20.0,415.0,0.07475,0.0529,4.5,3.6,3.0,2,2,2,64.8,1.25,0.0085518,0.9413,0.49741,54.25167,0.11118,0.04401,7.91705,7.96699,5235.1299,0.96,49.65,0.92347,0.53205,0.53135,0.46773,0.92068,0.73651,0.72705,269.362,4.238,0.858,0.0,0.0,4.238,100.0,100.0
222,3285,20.0,415.0,0.07475,0.0529,4.5,4.5,2.75,2,2,2,81.0,1.0,0.0085518,1.0634,0.55373,69.09332,0.12719,0.07868,17.22096,8.48816,4020.61522,0.78,34.845,0.88943,0.5353,0.52196,0.4647,0.91278,0.70516,0.69352,310.606,5.804,0.951,0.0,0.0,5.804,100.0,100.0
226,2476,20.0,415.0,0.07475,0.0529,3.6,4.5,3.0,2,2,2,64.8,0.8,0.0085518,1.546,0.36627,70.20761,0.19539,0.0551,16.95212,4.11719,2750.56367,1.7,39.07,0.79623,0.54591,0.51729,0.46451,0.94646,0.70932,0.67972,259.472,3.297,1.044,0.0,0.0,3.297,100.0,100.0
228,139,20.0,415.0,0.07475,0.0529,2.6,2.6,2.75,6,2,3,81.12,3.0,0.0085518,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.89274,0.50128,0.46934,0.44613,0.78567,0.67965,0.63559,608.117,1.245,0.978,1.33,0.0,1.33,46.127,37.61
217,990,20.0,415.0,0.07475,0.0529,2.6,3.6,3.0,3,3,2,84.24,0.72222,0.0085518,0.4473,0.43521,33.62016,0.07875,0.07258,6.82335,3.24617,1693.71221,0.1,14.71,0.89639,0.45562,0.4297,0.38251,0.77452,0.59173,0.55386,424.25,1.48,0.796,0.0,0.0,1.48,55.164,55.133
