Sample no,fc (MPa),fy (MPa),Beam Area (m2),Col area (m2),Bay Width X (m),Bay Width Y (m),Bay Width Z (m),No of bay X,No of bay Y,No of bay Z,Area (m2)
0,20.00,415.00,0.08165,0.09,3.00,3.00,2.90,6,5,2,270.00
1,20.00,415.00,0.08165,0.09,3.00,3.00,2.90,5,5,2,225.00
2,20.00,415.00,0.08165,0.09,3.00,3.00,3.10,6,5,2,270.00
3,20.00,415.00,0.08165,0.09,3.00,3.00,3.10,5,5,2,225.00
4,20.00,415.00,0.08165,0.09,3.00,3.00,2.90,6,3,2,162.00
5,20.00,415.00,0.08165,0.09,3.00,3.00,2.90,5,3,2,135.00
6,20.00,415.00,0.08165,0.09,3.00,3.00,2.90,4,3,2,108.00
7,20.00,415.00,0.08165,0.09,3.00,3.00,2.90,3,3,2,81.00
8,20.00,415.00,0.08165,0.09,3.00,3.00,3.10,6,3,2,162.00
9,20.00,415.00,0.08165,0.09,3.00,3.00,3.10,5,3,2,135.00
10,20.00,415.00,0.08165,0.09,3.00,3.00,3.10,4,3,2,108.00
11,20.00,415.00,0.08165,0.09,3.00,3.00,3.10,3,3,2,81.00
12,20.00,415.00,0.08165,0.09,3.00,3.00,2.90,6,2,2,108.00
13,20.00,415.00,0.08165,0.09,3.00,3.00,2.90,5,2,2,90.00
14,20.00,415.00,0.08165,0.09,3.00,3.00,2.90,4,2,2,72.00
15,20.00,415.00,0.08165,0.09,3.00,3.00,2.90,3,2,2,54.00
16,20.00,415.00,0.08165,0.09,3.00,3.00,2.90,2,2,2,36.00
17,20.00,415.00,0.08165,0.09,3.00,3.00,3.10,6,2,2,108.00
18,20.00,415.00,0.08165,0.09,3.00,3.00,3.10,5,2,2,90.00
19,20.00,415.00,0.08165,0.09,3.00,3.00,3.10,4,2,2,72.00
20,20.00,415.00,0.08165,0.09,3.00,3.00,3.10,3,2,2,54.00
21,20.00,415.00,0.08165,0.09,3.00,3.00,3.10,2,2,2,36.00
22,20.00,415.00,0.08165,0.09,3.00,4.00,2.90,6,5,2,360.00
23,20.00,415.00,0.08165,0.09,3.00,4.00,2.90,5,5,2,300.00
24,20.00,415.00,0.08165,0.09,3.00,4.00,3.10,6,5,2,360.00
25,20.00,415.00,0.08165,0.09,3.00,4.00,3.10,5,5,2,300.00
26,20.00,415.00,0.08165,0.09,4.00,3.00,2.90,6,5,2,360.00
27,20.00,415.00,0.08165,0.09,4.00,3.00,2.90,5,5,2,300.00
28,20.00,415.00,0.08165,0.09,4.00,3.00,3.10,6,5,2,360.00
29,20.00,415.00,0.08165,0.09,4.00,3.00,3.10,5,5,2,300.00
30,20.00,415.00,0.08165,0.09,3.00,4.00,2.90,6,3,2,216.00
31,20.00,415.00,0.08165,0.09,3.00,4.00,2.90,5,3,2,180.00
32,20.00,415.00,0.08165,0.09,3.00,4.00,2.90,4,3,2,144.00
33,20.00,415.00,0.08165,0.09,3.00,4.00,2.90,3,3,2,108.00
34,20.00,415.00,0.08165,0.09,3.00,4.00,3.10,6,3,2,216.00
35,20.00,415.00,0.08165,0.09,3.00,4.00,3.10,5,3,2,180.00
36,20.00,415.00,0.08165,0.09,3.00,4.00,3.10,4,3,2,144.00
37,20.00,415.00,0.08165,0.09,3.00,4.00,3.10,3,3,2,108.00
38,20.00,415.00,0.08165,0.09,4.00,3.00,2.90,6,3,2,216.00
39,20.00,415.00,0.08165,0.09,4.00,3.00,2.90,5,3,2,180.00
40,20.00,415.00,0.08165,0.09,4.00,3.00,2.90,4,3,2,144.00
41,20.00,415.00,0.08165,0.09,4.00,3.00,2.90,3,3,2,108.00
42,20.00,415.00,0.08165,0.09,4.00,3.00,3.10,6,3,2,216.00
43,20.00,415.00,0.08165,0.09,4.00,3.00,3.10,5,3,2,180.00
44,20.00,415.00,0.08165,0.09,4.00,3.00,3.10,4,3,2,144.00
45,20.00,415.00,0.08165,0.09,4.00,3.00,3.10,3,3,2,108.00
46,20.00,415.00,0.08165,0.09,3.00,4.00,2.90,6,2,2,144.00
47,20.00,415.00,0.08165,0.09,3.00,4.00,2.90,5,2,2,120.00
48,20.00,415.00,0.08165,0.09,3.00,4.00,2.90,4,2,2,96.00
49,20.00,415.00,0.08165,0.09,3.00,4.00,2.90,3,2,2,72.00
50,20.00,415.00,0.08165,0.09,3.00,4.00,2.90,2,2,2,48.00
51,20.00,415.00,0.08165,0.09,3.00,4.00,3.10,6,2,2,144.00
52,20.00,415.00,0.08165,0.09,3.00,4.00,3.10,5,2,2,120.00
53,20.00,415.00,0.08165,0.09,3.00,4.00,3.10,4,2,2,96.00
54,20.00,415.00,0.08165,0.09,3.00,4.00,3.10,3,2,2,72.00
55,20.00,415.00,0.08165,0.09,3.00,4.00,3.10,2,2,2,48.00
56,20.00,415.00,0.08165,0.09,4.00,3.00,2.90,4,2,2,96.00
57,20.00,415.00,0.08165,0.09,4.00,3.00,2.90,3,2,2,72.00
58,20.00,415.00,0.08165,0.09,4.00,3.00,2.90,2,2,2,48.00
59,20.00,415.00,0.08165,0.09,4.00,3.00,3.10,4,2,2,96.00
60,20.00,415.00,0.08165,0.09,4.00,3.00,3.10,3,2,2,72.00
61,20.00,415.00,0.08165,0.09,4.00,3.00,3.10,2,2,2,48.00
62,20.00,415.00,0.08165,0.09,3.00,3.00,2.90,6,5,3,270.00
63,20.00,415.00,0.08165,0.09,3.00,3.00,2.90,5,5,3,225.00
64,20.00,415.00,0.08165,0.09,3.00,3.00,3.10,6,5,3,270.00
65,20.00,415.00,0.08165,0.09,3.00,3.00,3.10,5,5,3,225.00
66,20.00,415.00,0.08165,0.09,3.00,3.00,2.90,6,3,3,162.00
67,20.00,415.00,0.08165,0.09,3.00,3.00,2.90,5,3,3,135.00
68,20.00,415.00,0.08165,0.09,3.00,3.00,2.90,4,3,3,108.00
69,20.00,415.00,0.08165,0.09,3.00,3.00,2.90,3,3,3,81.00
70,20.00,415.00,0.08165,0.09,3.00,3.00,3.10,6,3,3,162.00
71,20.00,415.00,0.08165,0.09,3.00,3.00,3.10,5,3,3,135.00
72,20.00,415.00,0.08165,0.09,3.00,3.00,3.10,4,3,3,108.00
73,20.00,415.00,0.08165,0.09,3.00,3.00,3.10,3,3,3,81.00
74,20.00,415.00,0.08165,0.09,3.00,3.00,2.90,6,2,3,108.00
75,20.00,415.00,0.08165,0.09,3.00,3.00,2.90,5,2,3,90.00
76,20.00,415.00,0.08165,0.09,3.00,3.00,2.90,4,2,3,72.00
77,20.00,415.00,0.08165,0.09,3.00,3.00,2.90,3,2,3,54.00
78,20.00,415.00,0.08165,0.09,3.00,3.00,2.90,2,2,3,36.00
79,20.00,415.00,0.08165,0.09,3.00,3.00,3.10,6,2,3,108.00
80,20.00,415.00,0.08165,0.09,3.00,3.00,3.10,5,2,3,90.00
81,20.00,415.00,0.08165,0.09,3.00,3.00,3.10,4,2,3,72.00
82,20.00,415.00,0.08165,0.09,3.00,3.00,3.10,3,2,3,54.00
83,20.00,415.00,0.08165,0.09,3.00,3.00,3.10,2,2,3,36.00
84,20.00,415.00,0.08165,0.09,3.00,4.00,2.90,6,5,3,360.00
85,20.00,415.00,0.08165,0.09,3.00,4.00,2.90,5,5,3,300.00
86,20.00,415.00,0.08165,0.09,3.00,4.00,3.10,6,5,3,360.00
87,20.00,415.00,0.08165,0.09,3.00,4.00,3.10,5,5,3,300.00
88,20.00,415.00,0.08165,0.09,4.00,3.00,2.90,6,5,3,360.00
89,20.00,415.00,0.08165,0.09,4.00,3.00,2.90,5,5,3,300.00
90,20.00,415.00,0.08165,0.09,4.00,3.00,3.10,6,5,3,360.00
91,20.00,415.00,0.08165,0.09,4.00,3.00,3.10,5,5,3,300.00
92,20.00,415.00,0.08165,0.09,3.00,4.00,2.90,6,3,3,216.00
93,20.00,415.00,0.08165,0.09,3.00,4.00,2.90,5,3,3,180.00
94,20.00,415.00,0.08165,0.09,3.00,4.00,2.90,4,3,3,144.00
95,20.00,415.00,0.08165,0.09,3.00,4.00,2.90,3,3,3,108.00
96,20.00,415.00,0.08165,0.09,3.00,4.00,3.10,6,3,3,216.00
97,20.00,415.00,0.08165,0.09,3.00,4.00,3.10,5,3,3,180.00
98,20.00,415.00,0.08165,0.09,3.00,4.00,3.10,4,3,3,144.00
99,20.00,415.00,0.08165,0.09,3.00,4.00,3.10,3,3,3,108.00
100,20.00,415.00,0.08165,0.09,4.00,3.00,2.90,6,3,3,216.00
101,20.00,415.00,0.08165,0.09,4.00,3.00,2.90,5,3,3,180.00
102,20.00,415.00,0.08165,0.09,4.00,3.00,2.90,4,3,3,144.00
103,20.00,415.00,0.08165,0.09,4.00,3.00,2.90,3,3,3,108.00
104,20.00,415.00,0.08165,0.09,4.00,3.00,3.10,6,3,3,216.00
105,20.00,415.00,0.08165,0.09,4.00,3.00,3.10,5,3,3,180.00
106,20.00,415.00,0.08165,0.09,4.00,3.00,3.10,4,3,3,144.00
107,20.00,415.00,0.08165,0.09,4.00,3.00,3.10,3,3,3,108.00
108,20.00,415.00,0.08165,0.09,3.00,4.00,2.90,6,2,3,144.00
109,20.00,415.00,0.08165,0.09,3.00,4.00,2.90,5,2,3,120.00
110,20.00,415.00,0.08165,0.09,3.00,4.00,2.90,4,2,3,96.00
111,20.00,415.00,0.08165,0.09,3.00,4.00,2.90,3,2,3,72.00
112,20.00,415.00,0.08165,0.09,3.00,4.00,2.90,2,2,3,48.00
113,20.00,415.00,0.08165,0.09,3.00,4.00,3.10,6,2,3,144.00
114,20.00,415.00,0.08165,0.09,3.00,4.00,3.10,5,2,3,120.00
115,20.00,415.00,0.08165,0.09,3.00,4.00,3.10,4,2,3,96.00
116,20.00,415.00,0.08165,0.09,3.00,4.00,3.10,3,2,3,72.00
117,20.00,415.00,0.08165,0.09,3.00,4.00,3.10,2,2,3,48.00
118,20.00,415.00,0.08165,0.09,4.00,3.00,2.90,4,2,3,96.00
119,20.00,415.00,0.08165,0.09,4.00,3.00,2.90,3,2,3,72.00
120,20.00,415.00,0.08165,0.09,4.00,3.00,2.90,2,2,3,48.00
121,20.00,415.00,0.08165,0.09,4.00,3.00,3.10,4,2,3,96.00
122,20.00,415.00,0.08165,0.09,4.00,3.00,3.10,3,2,3,72.00
123,20.00,415.00,0.08165,0.09,4.00,3.00,3.10,2,2,3,48.00
124,20.00,415.00,0.08875,0.09,3.00,3.00,2.90,6,5,2,270.00
125,20.00,415.00,0.08875,0.09,3.00,3.00,2.90,5,5,2,225.00
126,20.00,415.00,0.08875,0.09,3.00,3.00,3.10,6,5,2,270.00
127,20.00,415.00,0.08875,0.09,3.00,3.00,3.10,5,5,2,225.00
128,20.00,415.00,0.08875,0.09,3.00,3.00,2.90,6,3,2,162.00
129,20.00,415.00,0.08875,0.09,3.00,3.00,2.90,5,3,2,135.00
130,20.00,415.00,0.08875,0.09,3.00,3.00,2.90,4,3,2,108.00
131,20.00,415.00,0.08875,0.09,3.00,3.00,2.90,3,3,2,81.00
132,20.00,415.00,0.08875,0.09,3.00,3.00,3.10,6,3,2,162.00
133,20.00,415.00,0.08875,0.09,3.00,3.00,3.10,5,3,2,135.00
134,20.00,415.00,0.08875,0.09,3.00,3.00,3.10,4,3,2,108.00
135,20.00,415.00,0.08875,0.09,3.00,3.00,3.10,3,3,2,81.00
136,20.00,415.00,0.08875,0.09,3.00,3.00,2.90,6,2,2,108.00
137,20.00,415.00,0.08875,0.09,3.00,3.00,2.90,5,2,2,90.00
138,20.00,415.00,0.08875,0.09,3.00,3.00,2.90,4,2,2,72.00
139,20.00,415.00,0.08875,0.09,3.00,3.00,2.90,3,2,2,54.00
140,20.00,415.00,0.08875,0.09,3.00,3.00,2.90,2,2,2,36.00
141,20.00,415.00,0.08875,0.09,3.00,3.00,3.10,6,2,2,108.00
142,20.00,415.00,0.08875,0.09,3.00,3.00,3.10,5,2,2,90.00
143,20.00,415.00,0.08875,0.09,3.00,3.00,3.10,4,2,2,72.00
144,20.00,415.00,0.08875,0.09,3.00,3.00,3.10,3,2,2,54.00
145,20.00,415.00,0.08875,0.09,3.00,3.00,3.10,2,2,2,36.00
146,20.00,415.00,0.08875,0.09,3.00,4.00,2.90,6,5,2,360.00
147,20.00,415.00,0.08875,0.09,3.00,4.00,2.90,5,5,2,300.00
148,20.00,415.00,0.08875,0.09,3.00,4.00,3.10,6,5,2,360.00
149,20.00,415.00,0.08875,0.09,3.00,4.00,3.10,5,5,2,300.00
150,20.00,415.00,0.08875,0.09,4.00,3.00,2.90,6,5,2,360.00
151,20.00,415.00,0.08875,0.09,4.00,3.00,2.90,5,5,2,300.00
152,20.00,415.00,0.08875,0.09,4.00,3.00,3.10,6,5,2,360.00
153,20.00,415.00,0.08875,0.09,4.00,3.00,3.10,5,5,2,300.00
154,20.00,415.00,0.08875,0.09,3.00,4.00,2.90,6,3,2,216.00
155,20.00,415.00,0.08875,0.09,3.00,4.00,2.90,5,3,2,180.00
156,20.00,415.00,0.08875,0.09,3.00,4.00,2.90,4,3,2,144.00
157,20.00,415.00,0.08875,0.09,3.00,4.00,2.90,3,3,2,108.00
158,20.00,415.00,0.08875,0.09,3.00,4.00,3.10,6,3,2,216.00
159,20.00,415.00,0.08875,0.09,3.00,4.00,3.10,5,3,2,180.00
160,20.00,415.00,0.08875,0.09,3.00,4.00,3.10,4,3,2,144.00
161,20.00,415.00,0.08875,0.09,3.00,4.00,3.10,3,3,2,108.00
162,20.00,415.00,0.08875,0.09,4.00,3.00,2.90,6,3,2,216.00
163,20.00,415.00,0.08875,0.09,4.00,3.00,2.90,5,3,2,180.00
164,20.00,415.00,0.08875,0.09,4.00,3.00,2.90,4,3,2,144.00
165,20.00,415.00,0.08875,0.09,4.00,3.00,2.90,3,3,2,108.00
166,20.00,415.00,0.08875,0.09,4.00,3.00,3.10,6,3,2,216.00
167,20.00,415.00,0.08875,0.09,4.00,3.00,3.10,5,3,2,180.00
168,20.00,415.00,0.08875,0.09,4.00,3.00,3.10,4,3,2,144.00
169,20.00,415.00,0.08875,0.09,4.00,3.00,3.10,3,3,2,108.00
170,20.00,415.00,0.08875,0.09,3.00,4.00,2.90,6,2,2,144.00
171,20.00,415.00,0.08875,0.09,3.00,4.00,2.90,5,2,2,120.00
172,20.00,415.00,0.08875,0.09,3.00,4.00,2.90,4,2,2,96.00
173,20.00,415.00,0.08875,0.09,3.00,4.00,2.90,3,2,2,72.00
174,20.00,415.00,0.08875,0.09,3.00,4.00,2.90,2,2,2,48.00
175,20.00,415.00,0.08875,0.09,3.00,4.00,3.10,6,2,2,144.00
176,20.00,415.00,0.08875,0.09,3.00,4.00,3.10,5,2,2,120.00
177,20.00,415.00,0.08875,0.09,3.00,4.00,3.10,4,2,2,96.00
178,20.00,415.00,0.08875,0.09,3.00,4.00,3.10,3,2,2,72.00
179,20.00,415.00,0.08875,0.09,3.00,4.00,3.10,2,2,2,48.00
180,20.00,415.00,0.08875,0.09,4.00,3.00,2.90,4,2,2,96.00
181,20.00,415.00,0.08875,0.09,4.00,3.00,2.90,3,2,2,72.00
182,20.00,415.00,0.08875,0.09,4.00,3.00,2.90,2,2,2,48.00
183,20.00,415.00,0.08875,0.09,4.00,3.00,3.10,4,2,2,96.00
184,20.00,415.00,0.08875,0.09,4.00,3.00,3.10,3,2,2,72.00
185,20.00,415.00,0.08875,0.09,4.00,3.00,3.10,2,2,2,48.00
186,20.00,415.00,0.08875,0.09,3.00,3.00,2.90,6,5,3,270.00
187,20.00,415.00,0.08875,0.09,3.00,3.00,2.90,5,5,3,225.00
188,20.00,415.00,0.08875,0.09,3.00,3.00,3.10,6,5,3,270.00
189,20.00,415.00,0.08875,0.09,3.00,3.00,3.10,5,5,3,225.00
190,20.00,415.00,0.08875,0.09,3.00,3.00,2.90,6,3,3,162.00
191,20.00,415.00,0.08875,0.09,3.00,3.00,2.90,5,3,3,135.00
192,20.00,415.00,0.08875,0.09,3.00,3.00,2.90,4,3,3,108.00
193,20.00,415.00,0.08875,0.09,3.00,3.00,2.90,3,3,3,81.00
194,20.00,415.00,0.08875,0.09,3.00,3.00,3.10,6,3,3,162.00
195,20.00,415.00,0.08875,0.09,3.00,3.00,3.10,5,3,3,135.00
196,20.00,415.00,0.08875,0.09,3.00,3.00,3.10,4,3,3,108.00
197,20.00,415.00,0.08875,0.09,3.00,3.00,3.10,3,3,3,81.00
198,20.00,415.00,0.08875,0.09,3.00,3.00,2.90,6,2,3,108.00
199,20.00,415.00,0.08875,0.09,3.00,3.00,2.90,5,2,3,90.00
200,20.00,415.00,0.08875,0.09,3.00,3.00,2.90,4,2,3,72.00
201,20.00,415.00,0.08875,0.09,3.00,3.00,2.90,3,2,3,54.00
202,20.00,415.00,0.08875,0.09,3.00,3.00,2.90,2,2,3,36.00
203,20.00,415.00,0.08875,0.09,3.00,3.00,3.10,6,2,3,108.00
