Properties,Tm,PGA,PGV,PGV/PGA,IA,CAV,Tpred,Dsig
units,s,g,cm/s,s,m/s,cm/s,s,s
RSN 496,0.5113,0.54052,34.53304,0.06513,1.34355,635.35772,0.04,5.5425
RSN 990,0.4473,0.43521,33.62016,0.07875,3.24617,1693.71221,0.10,14.71
RSN 410,0.4265,0.42675,27.78368,0.06637,1.26995,734.36209,0.12,6.255
RSN 4455,0.458,0.38582,21.82997,0.05768,2.11664,1348.63836,0.12,12.45
RSN 139,0.3915,0.39736,32.69242,0.08387,2.68383,1295.37568,0.14,11
RSN 1052,0.5182,0.41381,50.58513,0.12461,2.17624,1281.62753,0.16,11.14
RSN 4863,0.5093,0.34576,33.74547,0.09949,3.32128,1991.93991,0.16,22.06
RSN 1045,1.0312,0.67999,62.38249,0.09352,2.22366,1180.35554,0.20,11.93
RSN 998,0.5345,0.39747,45.61678,0.11699,2.78549,1418.06102,0.24,11.33
RSN 3749,0.6478,0.44077,67.62446,0.1564,3.89520,1876.39026,0.34,17.86
RSN 4458,0.6677,0.38747,44.70002,0.1176,4.41474,2330.54859,0.38,19.67
RSN 960,0.6213,0.40079,35.57329,0.09048,2.43195,1118.51994,0.42,7.97
RSN 5814,1.1555,0.43933,77.31974,0.1794,5.19233,3469.22218,0.44,46.93
RSN 949,0.6317,0.49082,53.90067,0.11195,3.55958,1740.81558,0.52,13.78
RSN 2990,0.8415,0.494,56.16258,0.11589,6.76926,3686.52318,0.68,35.564
RSN 3285,1.0634,0.55373,69.09332,0.12719,8.48816,4020.61522,0.78,34.845
RSN 5665,1.4795,0.40191,95.69703,0.24272,8.26049,5424.87591,0.82,55.1
RSN 962,0.6325,0.40818,51.37601,0.1283,7.24300,3140.96484,0.92,29.4
RSN 3319,1.2023,0.45751,84.55813,0.1884,7.27355,4059.83503,0.94,38.08
RSN 5117,0.9413,0.49741,54.25167,0.11118,7.96699,5235.1299,0.96,49.65
RSN 5470,0.8953,0.43745,80.26981,0.18705,8.39287,5262.83169,0.96,55.01
RSN 5676,1.0868,0.36297,64.30775,0.1806,3.42428,2456.76874,1.26,20.96
RSN 5259,1.2169,0.34798,63.2058,0.18516,6.24230,4333.44688,1.26,47.14
RSN 3282,1.1888,0.32222,68.54745,0.21686,4.86884,2558.18179,1.48,21.616
RSN 4199,1.1607,0.29655,67.41968,0.23175,6.28079,3898.87191,1.64,33.48
RSN 2476,1.546,0.36627,70.20761,0.19539,4.11719,2750.56367,1.70,39.07
RSN 2510,1.429,0.33066,81.03706,0.24983,8.21312,4268.57423,1.94,41.028
RSN 334,1.3218,0.28209,71.28891,0.25761,7.00411,3657.26208,2.02,30.77
