Sample_no,RSN,fc_(MPa),fy_(MPa),Ab_(m2),Ac_(m2),Lx_(m),Ly_(m),Lz_(m),Nx,Ny,Nz,Ap_(m2),AR,Kfc,ρ,Tm_(sec),PGA_(g),PGV_(cm/sec),PGV/PGA_(sec),A_RMS_(g),V_RMS_(cm/sec),IA,CAV_(cm/sec),Tpred_(sec),Dsig_(sec),Sa(T1)_(g),T1_(s),T2_(s),T3_(s),Final_T1 (s),Final_T2 (s),Final_T3 (s),max_base_shear_kN,MIDR_1st_floor,MIDR_2nd_floor,MIDR_3rd_floor,MIDR_4th_floor,MIDR,Max_Park_Ang_DI_storey,Park_Ang_DI
0,139,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11,0.89168,0.24225,0.24225,0.21362,0.34666,0.27615,0.267,365.874,0.367,0.331,0,0,0.367,0,0
0,334,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.59972,0.24225,0.24225,0.21362,0.31313,0.26498,0.25042,261.564,0.227,0.198,0,0,0.227,0,0
0,410,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.65057,0.24225,0.24225,0.21362,0.34642,0.27533,0.26632,393.612,0.405,0.352,0,0,0.405,0,0
0,496,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,0.5113,0.54052,34.53304,0.06513,0.09349,8.53915,1.34355,635.35772,0.04,5.5425,0.82779,0.24225,0.24225,0.21362,0.32433,0.26909,0.25644,359.648,0.354,0.3,0,0,0.354,0,0
0,949,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,0.91455,0.24225,0.24225,0.21362,0.35303,0.27895,0.27083,392.097,0.404,0.348,0,0,0.404,0,0
0,960,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,0.6213,0.40079,35.57329,0.09048,0.08888,10.69833,2.43195,1118.51994,0.42,7.97,0.87371,0.24225,0.24225,0.21362,0.36337,0.28178,0.27532,433.294,0.465,0.398,0,0,0.465,0,0
0,962,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,0.6325,0.40818,51.37601,0.1283,0.10843,13.27285,7.243,3140.96484,0.92,29.4,0.92898,0.24225,0.24225,0.21362,0.29696,0.26379,0.24461,380.992,0.399,0.375,0,0,0.399,0,0
0,990,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,0.4473,0.43521,33.62016,0.07875,0.07258,6.82335,3.24617,1693.71221,0.1,14.71,0.84146,0.24225,0.24225,0.21362,0.35536,0.27927,0.27174,404.065,0.422,0.364,0,0,0.422,0,0
0,998,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,0.5345,0.39747,45.61678,0.11699,0.07765,8.98781,2.78549,1418.06102,0.24,11.33,1.0314,0.24225,0.24225,0.21362,0.34671,0.27725,0.26785,397.518,0.414,0.363,0,0,0.414,0,0
0,1045,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,1.0312,0.67999,62.38249,0.09352,0.07601,17.70292,2.22366,1180.35554,0.2,11.93,0.86311,0.24225,0.24225,0.21362,0.35435,0.27843,0.26999,408.533,0.432,0.388,0,0,0.432,0,0
0,1052,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,0.5182,0.41381,50.58513,0.12461,0.05943,6.64182,2.17624,1281.62753,0.16,11.14,0.88855,0.24225,0.24225,0.21362,0.3508,0.27784,0.26956,381.196,0.385,0.35,0,0,0.385,0,0
0,2476,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,1.546,0.36627,70.20761,0.19539,0.0551,16.95212,4.11719,2750.56367,1.7,39.07,0.64459,0.24225,0.24225,0.21362,0.32627,0.26952,0.25711,292.397,0.268,0.246,0,0,0.268,0,0
0,2510,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,1.429,0.33066,81.03706,0.24983,0.07696,21.19063,8.21312,4268.57423,1.94,41.028,0.55054,0.24225,0.24225,0.21362,0.32508,0.26911,0.25654,303.927,0.283,0.249,0,0,0.283,0,0
0,2990,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,0.8415,0.494,56.16258,0.11589,0.06181,11.00453,6.76926,3686.52318,0.68,35.564,0.85149,0.24225,0.24225,0.21362,0.35622,0.27955,0.27204,393.09,0.413,0.385,0,0,0.413,0,0
0,3282,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,1.1888,0.32222,68.54745,0.21686,0.05707,12.07112,4.86884,2558.18179,1.48,21.616,0.58667,0.24225,0.24225,0.21362,0.30932,0.26362,0.24848,276.225,0.246,0.215,0,0,0.246,0,0
0,3285,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,1.0634,0.55373,69.09332,0.12719,0.07868,17.22096,8.48816,4020.61522,0.78,34.845,0.88488,0.24225,0.24225,0.21362,0.35087,0.27794,0.26955,392.498,0.402,0.343,0,0,0.402,0,0
0,3319,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,1.2023,0.45751,84.55813,0.1884,0.06145,15.00242,7.27355,4059.83503,0.94,38.08,0.87861,0.24225,0.24225,0.21362,0.35487,0.27906,0.27134,391.135,0.407,0.362,0,0,0.407,0,0
0,3749,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,0.6478,0.44077,67.62446,0.1564,0.09458,15.31657,3.8952,1876.39026,0.34,17.86,0.93634,0.24225,0.24225,0.21362,0.36121,0.28154,0.27341,446.489,0.486,0.418,0,0,0.486,0,0
0,4199,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,1.1607,0.29655,67.41968,0.23175,0.05829,12.40885,6.28079,3898.87191,1.64,33.48,0.54693,0.24225,0.24225,0.21362,0.31581,0.26587,0.25178,266.529,0.236,0.219,0,0,0.236,0,0
0,4455,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,0.458,0.38582,21.82997,0.05768,0.05352,4.65578,2.11664,1348.63836,0.12,12.45,0.94939,0.24225,0.24225,0.21362,0.34891,0.277,0.2683,366.841,0.375,0.345,0,0,0.375,0,0
0,4458,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,0.6677,0.38747,44.70002,0.1176,0.07711,10.07204,4.41474,2330.54859,0.38,19.67,0.87313,0.24225,0.24225,0.21362,0.34889,0.27666,0.26751,374.705,0.381,0.333,0,0,0.381,0,0
0,4863,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,0.5093,0.34576,33.74547,0.09949,0.05994,7.41925,3.32128,1991.93991,0.16,22.06,0.88385,0.24225,0.24225,0.21362,0.35458,0.27903,0.2713,393.334,0.407,0.356,0,0,0.407,0,0
0,5117,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,0.9413,0.49741,54.25167,0.11118,0.04401,7.91705,7.96699,5235.1299,0.96,49.65,0.92356,0.24225,0.24225,0.21362,0.35261,0.27823,0.27013,389.288,0.406,0.385,0,0,0.406,0,0
0,5259,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,1.2169,0.34798,63.2058,0.18516,0.03675,8.6995,6.2423,4333.44688,1.26,47.14,0.60807,0.24225,0.24225,0.21362,0.32044,0.26758,0.25417,284.307,0.255,0.22,0,0,0.255,0,0
