Sample no,RSN,fc (MPa),fy (MPa),Ab (m2),Ac (m2),Lx (m),Ly (m),Lz (m),Nx,Ny,Nz,Ap (m2),AR,Kfc,ρ,Tm (sec),PGA (g),PGV (cm/sec),PGV/PGA (sec),A RMS (g),V RMS (cm/sec),IA,CAV (cm/sec),Tpred (sec),Dsig (sec),Sa(T1) (g),T1 (s),T2 (s),T3 (s),Final_T1 (s),Final_T2 (s),Final_T3 (s),max_base_shear_kN,MIDR_1st_floor,MIDR_2nd_floor,MIDR_3rd_floor,MIDR_4th_floor,MIDR,Max_Park_Ang_DI_storey,Park_Ang_DI
0,139,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11,1.01943,0.38416,0.35873,0.34231,0.61775,0.53,0.47356,591.466,1.261,0.657,0,0,1.261,32.035,32.035
0,334,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.71053,0.38416,0.35873,0.34231,0.60696,0.52092,0.46966,607.079,1.357,0.684,0,0,1.357,49.508,49.508
0,410,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.90276,0.38416,0.35873,0.34231,0.62005,0.5362,0.48726,615.991,1.522,0.772,0,0,1.522,40.468,40.447
0,496,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,0.5113,0.54052,34.53304,0.06513,0.09349,8.53915,1.34355,635.35772,0.04,5.5425,0.87894,0.38416,0.35873,0.34231,0.61535,0.52853,0.4751,595.086,1.28,0.634,0,0,1.28,33.628,33.628
0,949,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,0.96142,0.38416,0.35873,0.34231,0.61614,0.53036,0.4765,627.003,1.782,0.71,0,0,1.782,63.807,63.798
0,960,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,0.6213,0.40079,35.57329,0.09048,0.08888,10.69833,2.43195,1118.51994,0.42,7.97,0.92407,0.38416,0.35873,0.34231,0.58442,0.50583,0.46705,604.044,1.49,0.805,0,0,1.49,52.246,52.182
0,962,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,0.6325,0.40818,51.37601,0.1283,0.10843,13.27285,7.243,3140.96484,0.92,29.4,0.91372,0.38416,0.35873,0.34231,0.54564,0.47599,0.45375,637.649,2.364,0.731,0,0,2.364,100,100
0,990,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,0.4473,0.43521,33.62016,0.07875,0.07258,6.82335,3.24617,1693.71221,0.1,14.71,0.97441,0.38416,0.35873,0.34231,0.61526,0.52989,0.47644,597.657,1.358,0.647,0,0,1.358,39.494,39.494
0,998,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,0.5345,0.39747,45.61678,0.11699,0.07765,8.98781,2.78549,1418.06102,0.24,11.33,0.90662,0.38416,0.35873,0.34231,0.61572,0.52912,0.47501,594.22,1.197,0.667,0,0,1.197,20.902,20.902
0,1045,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,1.0312,0.67999,62.38249,0.09352,0.07601,17.70292,2.22366,1180.35554,0.2,11.93,0.8754,0.38416,0.35873,0.34231,0.59423,0.51416,0.47041,639.635,2.19,0.683,0,0,2.19,72.345,72.345
