Sample no,RSN,fc (MPa),fy (MPa),Ab (m2),Ac (m2),Lx (m),Ly (m),Lz (m),Nx,Ny,Nz,Ap (m2),AR,Kfc,ρ,Tm (sec),PGA (g),PGV (cm/sec),PGV/PGA (sec),A RMS (g),V RMS (cm/sec),IA,CAV (cm/sec),Tpred (sec),Dsig (sec),Sa(T1) (g),T1 (s),T2 (s),T3 (s),Final_T1 (s),Final_T2 (s),Final_T3 (s),max_base_shear_kN,MIDR_1st_floor,MIDR_2nd_floor,MIDR_3rd_floor,MIDR_4th_floor,MIDR,Max_Park_Ang_DI_storey,Park_Ang_DI
0,139,20,415,0.08165,0.09,3,3,2.9,6,5,2,270,1.2,1.25,0.0139626,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11,0.84825,0.32155,0.31958,0.2872,0.58758,0.45473,0.45278,1864.324,1.053,0.579,0,0,1.053,40.649,20.752
0,334,20,415,0.08165,0.09,3,3,2.9,6,5,2,270,1.2,1.25,0.0139626,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.63415,0.32155,0.31958,0.2872,0.56792,0.44156,0.44009,1879.738,1.004,0.518,0,0,1.004,42.089,42.089
0,410,20,415,0.08165,0.09,3,3,2.9,6,5,2,270,1.2,1.25,0.0139626,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.91639,0.32155,0.31958,0.2872,0.59451,0.45969,0.45642,1941.479,1.23,0.674,0,0,1.23,43.652,23.348
0,496,20,415,0.08165,0.09,3,3,2.9,6,5,2,270,1.2,1.25,0.0139626,0.5113,0.54052,34.53304,0.06513,0.09349,8.53915,1.34355,635.35772,0.04,5.5425,0.88091,0.32155,0.31958,0.2872,0.49098,0.42471,0.40551,1903.421,0.927,0.541,0,0,0.927,30.468,15.239
0,949,20,415,0.08165,0.09,3,3,2.9,6,5,2,270,1.2,1.25,0.0139626,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,0.96756,0.32155,0.31958,0.2872,0.58638,0.45753,0.45166,1959.208,1.297,0.559,0,0,1.297,57.29,28.761
0,960,20,415,0.08165,0.09,3,3,2.9,6,5,2,270,1.2,1.25,0.0139626,0.6213,0.40079,35.57329,0.09048,0.08888,10.69833,2.43195,1118.51994,0.42,7.97,1.01206,0.32155,0.31958,0.2872,0.57794,0.45506,0.45341,1940.22,1.259,0.598,0,0,1.259,50.756,26.038
0,962,20,415,0.08165,0.09,3,3,2.9,6,5,2,270,1.2,1.25,0.0139626,0.6325,0.40818,51.37601,0.1283,0.10843,13.27285,7.243,3140.96484,0.92,29.4,0.8977,0.32155,0.31958,0.2872,0.57403,0.45578,0.45272,2019.08,1.962,0.573,0,0,1.962,100,69.746
0,990,20,415,0.08165,0.09,3,3,2.9,6,5,2,270,1.2,1.25,0.0139626,0.4473,0.43521,33.62016,0.07875,0.07258,6.82335,3.24617,1693.71221,0.1,14.71,0.95665,0.32155,0.31958,0.2872,0.57912,0.45248,0.44605,1894.587,1.025,0.501,0,0,1.025,35.8,35.8
0,998,20,415,0.08165,0.09,3,3,2.9,6,5,2,270,1.2,1.25,0.0139626,0.5345,0.39747,45.61678,0.11699,0.07765,8.98781,2.78549,1418.06102,0.24,11.33,0.86066,0.32155,0.31958,0.2872,0.58127,0.45094,0.44743,1952.748,1.278,0.749,0,0,1.278,41.173,22.758
0,1045,20,415,0.08165,0.09,3,3,2.9,6,5,2,270,1.2,1.25,0.0139626,1.0312,0.67999,62.38249,0.09352,0.07601,17.70292,2.22366,1180.35554,0.2,11.93,0.88681,0.32155,0.31958,0.2872,0.55924,0.45137,0.44695,2002.342,1.697,0.557,0,0,1.697,71.974,36.108
0,1052,20,415,0.08165,0.09,3,3,2.9,6,5,2,270,1.2,1.25,0.0139626,0.5182,0.41381,50.58513,0.12461,0.05943,6.64182,2.17624,1281.62753,0.16,11.14,0.86575,0.32155,0.31958,0.2872,0.57857,0.44958,0.44559,1929.748,1.058,0.52,0,0,1.058,39.865,39.865
0,2476,20,415,0.08165,0.09,3,3,2.9,6,5,2,270,1.2,1.25,0.0139626,1.546,0.36627,70.20761,0.19539,0.0551,16.95212,4.11719,2750.56367,1.7,39.07,0.76401,0.32155,0.31958,0.2872,0.53233,0.41118,0.40611,1707.814,0.629,0.469,0,0,0.629,4.211,4.211
0,2510,20,415,0.08165,0.09,3,3,2.9,6,5,2,270,1.2,1.25,0.0139626,1.429,0.33066,81.03706,0.24983,0.07696,21.19063,8.21312,4268.57423,1.94,41.028,0.76086,0.32155,0.31958,0.2872,0.59078,0.45809,0.45147,1907.089,1.074,0.536,0,0,1.074,54.204,27.176
0,2990,20,415,0.08165,0.09,3,3,2.9,6,5,2,270,1.2,1.25,0.0139626,0.8415,0.494,56.16258,0.11589,0.06181,11.00453,6.76926,3686.52318,0.68,35.564,0.88322,0.32155,0.31958,0.2872,0.59464,0.46361,0.45679,1994.297,1.643,0.569,0,0,1.643,100,54.817
0,3282,20,415,0.08165,0.09,3,3,2.9,6,5,2,270,1.2,1.25,0.0139626,1.1888,0.32222,68.54745,0.21686,0.05707,12.07112,4.86884,2558.18179,1.48,21.616,0.66859,0.32155,0.31958,0.2872,0.59096,0.45876,0.45307,1915.162,1.188,0.555,0,0,1.188,49.61,24.989
0,3285,20,415,0.08165,0.09,3,3,2.9,6,5,2,270,1.2,1.25,0.0139626,1.0634,0.55373,69.09332,0.12719,0.07868,17.22096,8.48816,4020.61522,0.78,34.845,0.8803,0.32155,0.31958,0.2872,0.58933,0.45656,0.45334,1920.291,1.244,0.6,0,0,1.244,92.569,47.009
0,3319,20,415,0.08165,0.09,3,3,2.9,6,5,2,270,1.2,1.25,0.0139626,1.2023,0.45751,84.55813,0.1884,0.06145,15.00242,7.27355,4059.83503,0.94,38.08,0.99854,0.32155,0.31958,0.2872,0.59503,0.46063,0.45924,1968.259,1.441,0.644,0,0,1.441,79.989,41.343
