Sample no,RSN,fc_MPa,fy_MPa,Beam_Area_m2,Col_Area_m2,Bay_Width_X_m,Bay_Width_Y_m,Bay_Width_Z_m,No_of_bay_X,No_of_bay_Y,No_of_bay_Z,Plinth_Area_m2,Aspect Ratio,Reinforcement Ratio,T mean (sec),Max Aceleration (g),Max Velocity (cm/sec),Vmax/Amax (sec),Acceleration RMS (g),Velocity RMS (cm/sec),Arias Intensity,Cum. Abs. Velocity (cm/sec),Predominant Period (sec),Significant Duration (sec),Sa_T1 (g),Initial_T1 (s),Initial_T2 (s),Initial_T3 (s),Final_T1 (s),Final_T2 (s),Final_T3 (s),max_base_shear_kN,MIDR_1st_floor,MIDR_2nd_floor,MIDR_3rd_floor,MIDR_4th_floor,MIDR_all_floor,Max_Park_Ang_DI_storey,Park_Ang_DI
101,139,15.0,415.0,0.07475,0.0529,2.6,4.5,3.2,3,2,3,70.2,0.86667,0.0085518,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.47036,0.87689,0.78541,0.71553,1.3869,1.03527,0.98302,288.324,1.475,1.076,1.336,0.0,1.475,33.139,27.992
108,949,15.0,415.0,0.07475,0.0529,4.5,4.5,2.75,2,2,3,81.0,1.0,0.0085518,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,0.74182,0.8641,0.84327,0.74922,1.32916,1.08141,1.03707,275.797,2.629,1.762,3.518,0.0,3.518,100.0,100.0
108,960,15.0,415.0,0.07475,0.0529,4.5,4.5,2.75,2,2,3,81.0,1.0,0.0085518,0.6213,0.40079,35.57329,0.09048,0.08888,10.69833,2.43195,1118.51994,0.42,7.97,0.7491,0.8641,0.84327,0.74922,1.34046,1.09135,1.0495,273.11,2.681,1.815,4.191,0.0,4.191,100.0,100.0
111,4458,15.0,415.0,0.07475,0.0529,3.6,4.5,2.75,2,2,3,64.8,0.8,0.0085518,0.6677,0.38747,44.70002,0.1176,0.07711,10.07204,4.41474,2330.54859,0.38,19.67,0.83049,0.78264,0.7382,0.6627,1.27702,0.98019,0.94235,275.828,2.585,1.463,2.161,0.0,2.585,100.0,100.0
108,962,15.0,415.0,0.07475,0.0529,4.5,4.5,2.75,2,2,3,81.0,1.0,0.0085518,0.6325,0.40818,51.37601,0.1283,0.10843,13.27285,7.243,3140.96484,0.92,29.4,1.04677,0.8641,0.84327,0.74922,2.20332,1.61293,1.5346,282.695,3.603,1.48,3.715,0.0,3.715,100.0,100.0
111,4863,15.0,415.0,0.07475,0.0529,3.6,4.5,2.75,2,2,3,64.8,0.8,0.0085518,0.5093,0.34576,33.74547,0.09949,0.05994,7.41925,3.32128,1991.93991,0.16,22.06,0.54166,0.78264,0.7382,0.6627,1.08465,0.90757,0.83691,237.765,1.16,1.035,1.693,0.0,1.693,100.0,100.0
108,990,15.0,415.0,0.07475,0.0529,4.5,4.5,2.75,2,2,3,81.0,1.0,0.0085518,0.4473,0.43521,33.62016,0.07875,0.07258,6.82335,3.24617,1693.71221,0.1,14.71,0.5535,0.8641,0.84327,0.74922,1.34099,1.07107,1.03412,248.793,1.248,1.255,1.821,0.0,1.821,100.0,94.123
101,334,15.0,415.0,0.07475,0.0529,2.6,4.5,3.2,3,2,3,70.2,0.86667,0.0085518,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.8207,0.87689,0.78541,0.71553,1.39878,1.07709,1.02291,335.371,6.384,1.559,2.268,0.0,6.384,100.0,100.0
108,998,15.0,415.0,0.07475,0.0529,4.5,4.5,2.75,2,2,3,81.0,1.0,0.0085518,0.5345,0.39747,45.61678,0.11699,0.07765,8.98781,2.78549,1418.06102,0.24,11.33,0.74032,0.8641,0.84327,0.74922,1.35106,1.08433,1.04789,281.695,3.364,1.685,2.592,0.0,3.364,100.0,100.0
115,998,15.0,415.0,0.07475,0.0529,2.6,2.6,3.0,6,2,4,81.12,3.0,0.0085518,0.5345,0.39747,45.61678,0.11699,0.07765,8.98781,2.78549,1418.06102,0.24,11.33,0.77498,0.82697,0.77053,0.73362,1.27665,1.09789,1.02344,493.408,1.063,1.002,4.703,0.438,4.703,100.0,100.0
