Sample no,RSN,fc_MPa,fy_MPa,Beam_Area_m2,Col_Area_m2,Bay_Width_X_m,Bay_Width_Y_m,Bay_Width_Z_m,No_of_bay_X,No_of_bay_Y,No_of_bay_Z,Plinth_Area_m2,Aspect Ratio,Reinforcement Ratio,T mean (sec),Max Aceleration (g),Max Velocity (cm/sec),Vmax/Amax (sec),Acceleration RMS (g),Velocity RMS (cm/sec),Arias Intensity,Cum. Abs. Velocity (cm/sec),Predominant Period (sec),Significant Duration (sec),Sa_T1 (g),Initial_T1 (s),Initial_T2 (s),Initial_T3 (s),Final_T1 (s),Final_T2 (s),Final_T3 (s),max_base_shear_kN,MIDR_1st_floor,MIDR_2nd_floor,MIDR_3rd_floor,MIDR_4th_floor,MIDR_all_floor,Max_Park_Ang_DI_storey,Park_Ang_DI
3,139,20.0,500.0,0.08875,0.1225,3.0,3.0,3.1,2,2,2,36.0,1.0,0.0180545,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.88609,0.24566,0.24566,0.21654,0.37525,0.27759,0.27564,388.432,0.376,0.399,0.0,0.0,0.399,0.0,0.0
0,139,20.0,500.0,0.08875,0.1225,3.0,3.0,2.9,2,2,2,36.0,1.0,0.0180545,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.87752,0.22541,0.22541,0.19873,0.29067,0.23964,0.22906,373.19,0.303,0.305,0.0,0.0,0.305,0.0,0.0
1,139,20.0,500.0,0.08875,0.1225,3.0,3.0,2.9,3,3,2,81.0,1.0,0.0180545,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.89136,0.24282,0.24282,0.21219,0.38194,0.28085,0.27656,838.749,0.417,0.429,0.0,0.0,0.429,0.0,0.0
4,139,20.0,500.0,0.08875,0.1225,3.0,3.0,3.1,3,3,2,81.0,1.0,0.0180545,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.85532,0.26476,0.26476,0.23134,0.42323,0.309,0.30428,847.774,0.492,0.507,0.0,0.0,0.507,0.0,0.0
5,139,20.0,500.0,0.08875,0.1225,3.0,3.0,3.1,5,5,2,225.0,1.0,0.0180545,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.86786,0.28304,0.28304,0.25271,0.49536,0.35618,0.35493,2424.534,0.665,0.635,0.0,0.0,0.665,0.007,0.007
2,139,20.0,500.0,0.08875,0.1225,3.0,3.0,2.9,5,5,2,225.0,1.0,0.0180545,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.87203,0.25948,0.25948,0.23168,0.42389,0.31102,0.30837,2292.224,0.531,0.531,0.0,0.0,0.531,0.0,0.0
0,334,20.0,500.0,0.08875,0.1225,3.0,3.0,2.9,2,2,2,36.0,1.0,0.0180545,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.54781,0.22541,0.22541,0.19873,0.2915,0.24129,0.2301,259.825,0.179,0.183,0.0,0.0,0.183,0.0,0.0
3,334,20.0,500.0,0.08875,0.1225,3.0,3.0,3.1,2,2,2,36.0,1.0,0.0180545,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.62241,0.24566,0.24566,0.21654,0.33551,0.26789,0.25879,276.872,0.225,0.227,0.0,0.0,0.227,0.0,0.0
6,139,20.0,500.0,0.08875,0.1225,3.0,3.0,2.9,6,5,2,270.0,1.2,0.0180545,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.85166,0.26272,0.26085,0.23537,0.42139,0.32098,0.31076,2761.01,0.558,0.554,0.0,0.0,0.558,0.0,0.0
7,139,20.0,500.0,0.08875,0.1225,3.0,3.0,3.1,6,5,2,270.0,1.2,0.0180545,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.87247,0.28658,0.28457,0.25674,0.50571,0.37733,0.36333,2998.708,0.717,0.648,0.0,0.0,0.717,0.809,0.809
