Sample no,RSN,fc_MPa,fy_MPa,Beam_Area_m2,Col_Area_m2,Bay_Width_X_m,Bay_Width_Y_m,Bay_Width_Z_m,No_of_bay_X,No_of_bay_Y,No_of_bay_Z,Plinth_Area_m2,Aspect Ratio,Reinforcement Ratio,T mean (sec),Max Aceleration (g),Max Velocity (cm/sec),Vmax/Amax (sec),Acceleration RMS (g),Velocity RMS (cm/sec),Arias Intensity,Cum. Abs. Velocity (cm/sec),Predominant Period (sec),Significant Duration (sec),Sa_T1 (g),Initial_T1 (s),Initial_T2 (s),Initial_T3 (s),Final_T1 (s),Final_T2 (s),Final_T3 (s),max_base_shear_kN,MIDR_1st_floor,MIDR_2nd_floor,MIDR_3rd_floor,MIDR_4th_floor,MIDR_all_floor,Max_Park_Ang_DI_storey,Park_Ang_DI
0,139,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,2,2,2,27.04,1.0,0.0114919,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.89052,0.31298,0.31298,0.26795,0.51046,0.42629,0.39258,223.392,1.002,0.501,0.0,0.0,1.002,37.83,37.83
11,990,15.0,415.0,0.07475,0.0729,2.6,3.6,2.9,2,2,2,37.44,0.72222,0.0114919,0.4473,0.43521,33.62016,0.07875,0.07258,6.82335,3.24617,1693.71221,0.1,14.71,1.02957,0.37399,0.36036,0.31197,0.61824,0.49641,0.45036,233.919,1.156,0.618,0.0,0.0,1.156,58.623,29.33
11,1045,15.0,415.0,0.07475,0.0729,2.6,3.6,2.9,2,2,2,37.44,0.72222,0.0114919,1.0312,0.67999,62.38249,0.09352,0.07601,17.70292,2.22366,1180.35554,0.2,11.93,0.89049,0.37399,0.36036,0.31197,0.60249,0.49353,0.4472,249.343,2.398,0.644,0.0,0.0,2.398,99.616,49.838
11,1052,15.0,415.0,0.07475,0.0729,2.6,3.6,2.9,2,2,2,37.44,0.72222,0.0114919,0.5182,0.41381,50.58513,0.12461,0.05943,6.64182,2.17624,1281.62753,0.16,11.14,0.88042,0.37399,0.36036,0.31197,0.60747,0.48876,0.44016,235.937,1.298,0.628,0.0,0.0,1.298,54.306,27.174
13,139,15.0,415.0,0.07475,0.0729,2.6,3.6,2.9,4,2,2,74.88,1.44444,0.0114919,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.89168,0.41445,0.3835,0.33981,0.60789,0.50785,0.47306,388.871,1.357,0.749,0.0,0.0,1.357,58.119,29.52
0,334,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,2,2,2,27.04,1.0,0.0114919,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.627,0.31298,0.31298,0.26795,0.52134,0.41743,0.39119,215.354,0.753,0.488,0.0,0.0,0.753,10.805,10.805
2,960,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,4,2,2,54.08,2.0,0.0114919,0.6213,0.40079,35.57329,0.09048,0.08888,10.69833,2.43195,1118.51994,0.42,7.97,1.06671,0.34723,0.33327,0.29126,0.56861,0.46128,0.45105,388.802,1.418,0.645,0.0,0.0,1.418,52.155,26.167
7,139,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,5,3,2,101.4,1.66667,0.0114919,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.95877,0.37464,0.36529,0.31265,0.61475,0.51019,0.48124,600.989,1.138,0.576,0.0,0.0,1.138,48.431,48.431
1,496,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,3,2,2,40.56,1.5,0.0114919,0.5113,0.54052,34.53304,0.06513,0.09349,8.53915,1.34355,635.35772,0.04,5.5425,0.87636,0.33439,0.32579,0.27974,0.48651,0.4172,0.38514,304.887,0.951,0.534,0.0,0.0,0.951,31.674,31.674
0,410,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,2,2,2,27.04,1.0,0.0114919,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.88101,0.31298,0.31298,0.26795,0.52453,0.42443,0.39621,218.461,0.851,0.572,0.0,0.0,0.851,17.111,17.111
4,1045,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,6,2,2,81.12,3.0,0.0114919,1.0312,0.67999,62.38249,0.09352,0.07601,17.70292,2.22366,1180.35554,0.2,11.93,0.91423,0.36195,0.34146,0.31091,0.60283,0.50091,0.47731,567.421,2.166,0.61,0.0,0.0,2.166,87.974,44.016
1,949,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,3,2,2,40.56,1.5,0.0114919,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,0.89463,0.33439,0.32579,0.27974,0.55678,0.44566,0.42772,310.879,1.37,0.559,0.0,0.0,1.37,56.692,56.692
11,2476,15.0,415.0,0.07475,0.0729,2.6,3.6,2.9,2,2,2,37.44,0.72222,0.0114919,1.546,0.36627,70.20761,0.19539,0.0551,16.95212,4.11719,2750.56367,1.7,39.07,0.6732,0.37399,0.36036,0.31197,0.60248,0.47504,0.4269,225.88,0.95,0.632,0.0,0.0,0.95,19.484,9.756
0,496,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,2,2,2,27.04,1.0,0.0114919,0.5113,0.54052,34.53304,0.06513,0.09349,8.53915,1.34355,635.35772,0.04,5.5425,0.883,0.31298,0.31298,0.26795,0.47294,0.40153,0.36663,221.513,0.892,0.491,0.0,0.0,0.892,26.167,26.167
3,990,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,5,2,2,67.6,2.5,0.0114919,0.4473,0.43521,33.62016,0.07875,0.07258,6.82335,3.24617,1693.71221,0.1,14.71,1.0138,0.35581,0.33809,0.30174,0.59509,0.48154,0.47145,460.953,1.185,0.565,0.0,0.0,1.185,53.141,53.141
11,5676,15.0,415.0,0.07475,0.0729,2.6,3.6,2.9,2,2,2,37.44,0.72222,0.0114919,1.0868,0.36297,64.30775,0.1806,0.03359,6.70954,3.42428,2456.76874,1.26,20.96,0.67609,0.37399,0.36036,0.31197,0.60883,0.4891,0.44257,235.416,1.182,0.55,0.0,0.0,1.182,49.228,49.228
2,4458,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,4,2,2,54.08,2.0,0.0114919,0.6677,0.38747,44.70002,0.1176,0.07711,10.07204,4.41474,2330.54859,0.38,19.67,0.86969,0.34723,0.33327,0.29126,0.57384,0.46221,0.45401,380.829,1.217,0.582,0.0,0.0,1.217,79.028,79.028
0,949,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,2,2,2,27.04,1.0,0.0114919,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,0.97971,0.31298,0.31298,0.26795,0.51799,0.42474,0.39496,233.569,1.1,0.532,0.0,0.0,1.1,39.755,39.755
1,960,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,3,2,2,40.56,1.5,0.0114919,0.6213,0.40079,35.57329,0.09048,0.08888,10.69833,2.43195,1118.51994,0.42,7.97,1.02787,0.33439,0.32579,0.27974,0.56082,0.45072,0.43181,308.155,1.212,0.56,0.0,0.0,1.212,42.17,42.17
9,949,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,5,5,2,169.0,1.0,0.0114919,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,0.99488,0.39352,0.39352,0.32985,0.65755,0.55866,0.49953,951.351,2.085,0.651,0.0,0.0,2.085,100.0,60.69
0,960,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,2,2,2,27.04,1.0,0.0114919,0.6213,0.40079,35.57329,0.09048,0.08888,10.69833,2.43195,1118.51994,0.42,7.97,0.98301,0.31298,0.31298,0.26795,0.52381,0.42937,0.40008,221.118,0.905,0.525,0.0,0.0,0.905,30.184,30.184
2,962,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,4,2,2,54.08,2.0,0.0114919,0.6325,0.40818,51.37601,0.1283,0.10843,13.27285,7.243,3140.96484,0.92,29.4,0.81404,0.34723,0.33327,0.29126,0.57913,0.4631,0.45626,402.834,2.154,0.595,0.0,0.0,2.154,100.0,155.538
4,1052,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,6,2,2,81.12,3.0,0.0114919,0.5182,0.41381,50.58513,0.12461,0.05943,6.64182,2.17624,1281.62753,0.16,11.14,0.8749,0.36195,0.34146,0.31091,0.59934,0.4974,0.47501,541.945,1.234,0.593,0.0,0.0,1.234,51.505,25.753
0,3319,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,2,2,2,27.04,1.0,0.0114919,1.2023,0.45751,84.55813,0.1884,0.06145,15.00242,7.27355,4059.83503,0.94,38.08,0.96541,0.31298,0.31298,0.26795,0.52156,0.42779,0.39873,225.624,0.992,0.544,0.0,0.0,0.992,43.765,43.765
13,334,15.0,415.0,0.07475,0.0729,2.6,3.6,2.9,4,2,2,74.88,1.44444,0.0114919,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.70722,0.41445,0.3835,0.33981,0.67346,0.53082,0.50706,391.106,1.848,0.619,0.0,0.0,1.848,100.0,85.856
0,962,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,2,2,2,27.04,1.0,0.0114919,0.6325,0.40818,51.37601,0.1283,0.10843,13.27285,7.243,3140.96484,0.92,29.4,0.87002,0.31298,0.31298,0.26795,0.47563,0.42604,0.38191,234.077,1.434,0.574,0.0,0.0,1.434,78.05,78.05
1,4199,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,3,2,2,40.56,1.5,0.0114919,1.1607,0.29655,67.41968,0.23175,0.05829,12.40885,6.28079,3898.87191,1.64,33.48,0.65746,0.33439,0.32579,0.27974,0.55583,0.44514,0.4271,302.299,1.039,0.558,0.0,0.0,1.039,42.529,42.529
11,5814,15.0,415.0,0.07475,0.0729,2.6,3.6,2.9,2,2,2,37.44,0.72222,0.0114919,1.1555,0.43933,77.31974,0.1794,0.05299,17.36752,5.19233,3469.22218,0.44,46.93,0.8849,0.37399,0.36036,0.31197,0.62289,0.49867,0.45151,243.932,2.193,0.636,0.0,0.0,2.193,100.0,64.757
8,410,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,6,3,2,121.68,2.0,0.0114919,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.90301,0.38178,0.36954,0.32216,0.6437,0.51907,0.51069,711.248,1.311,0.601,0.0,0.0,1.311,53.575,53.575
3,998,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,5,2,2,67.6,2.5,0.0114919,0.5345,0.39747,45.61678,0.11699,0.07765,8.98781,2.78549,1418.06102,0.24,11.33,0.87899,0.35581,0.33809,0.30174,0.59704,0.48095,0.46841,465.703,1.373,0.675,0.0,0.0,1.373,39.843,20.071
0,990,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,2,2,2,27.04,1.0,0.0114919,0.4473,0.43521,33.62016,0.07875,0.07258,6.82335,3.24617,1693.71221,0.1,14.71,0.94471,0.31298,0.31298,0.26795,0.51734,0.41635,0.3864,227.176,0.968,0.537,0.0,0.0,0.968,24.907,24.907
1,962,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,3,2,2,40.56,1.5,0.0114919,0.6325,0.40818,51.37601,0.1283,0.10843,13.27285,7.243,3140.96484,0.92,29.4,0.88636,0.33439,0.32579,0.27974,0.51062,0.4532,0.41288,314.947,1.742,0.587,0.0,0.0,1.742,100.0,117.381
0,3749,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,2,2,2,27.04,1.0,0.0114919,0.6478,0.44077,67.62446,0.1564,0.09458,15.31657,3.8952,1876.39026,0.34,17.86,0.90256,0.31298,0.31298,0.26795,0.52283,0.42467,0.39425,231.664,1.066,0.585,0.0,0.0,1.066,36.027,36.027
