Sample no,RSN,fc (MPa),fy (MPa),Ab (m2),Ac (m2),Lx (m),Ly (m),Lz (m),Nx,Ny,Nz,Ap (m2),AR,Kfc,ρ,Tm (sec),PGA (g),PGV (cm/sec),PGV/PGA (sec),A RMS (g),V RMS (cm/sec),IA,CAV (cm/sec),Tpred (sec),Dsig (sec),Sa(T1) (g),T1 (s),T2 (s),T3 (s),Final_T1 (s),Final_T2 (s),Final_T3 (s),max_base_shear_kN,MIDR_1st_floor,MIDR_2nd_floor,MIDR_3rd_floor,MIDR_4th_floor,MIDR,Max_Park_Ang_DI_storey,Park_Ang_DI
0,139,20,500,0.08875,0.1225,3,3,2.9,2,2,2,36,1,1.52,0.0180545,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11,0.87752,0.22541,0.22541,0.19873,0.29067,0.23964,0.22906,373.19,0.303,0.305,0,0,0.305,0,0
0,334,20,500,0.08875,0.1225,3,3,2.9,2,2,2,36,1,1.52,0.0180545,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.54781,0.22541,0.22541,0.19873,0.2915,0.24129,0.2301,259.825,0.179,0.183,0,0,0.183,0,0
0,410,20,500,0.08875,0.1225,3,3,2.9,2,2,2,36,1,1.52,0.0180545,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.89015,0.22541,0.22541,0.19873,0.32645,0.25026,0.24515,375.88,0.307,0.322,0,0,0.322,0,0
0,496,20,500,0.08875,0.1225,3,3,2.9,2,2,2,36,1,1.52,0.0180545,0.5113,0.54052,34.53304,0.06513,0.09349,8.53915,1.34355,635.35772,0.04,5.5425,0.7683,0.22541,0.22541,0.19873,0.3006,0.24248,0.23374,351.023,0.271,0.271,0,0,0.271,0,0
0,949,20,500,0.08875,0.1225,3,3,2.9,2,2,2,36,1,1.52,0.0180545,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,1.00608,0.22541,0.22541,0.19873,0.33483,0.25226,0.24859,370.181,0.303,0.327,0,0,0.327,0,0
0,960,20,500,0.08875,0.1225,3,3,2.9,2,2,2,36,1,1.52,0.0180545,0.6213,0.40079,35.57329,0.09048,0.08888,10.69833,2.43195,1118.51994,0.42,7.97,0.88613,0.22541,0.22541,0.19873,0.34255,0.25375,0.2506,394.41,0.329,0.334,0,0,0.334,0,0
0,962,20,500,0.08875,0.1225,3,3,2.9,2,2,2,36,1,1.52,0.0180545,0.6325,0.40818,51.37601,0.1283,0.10843,13.27285,7.243,3140.96484,0.92,29.4,1.04092,0.22541,0.22541,0.19873,0.28408,0.2441,0.22917,429.332,0.369,0.381,0,0,0.381,0,0
0,990,20,500,0.08875,0.1225,3,3,2.9,2,2,2,36,1,1.52,0.0180545,0.4473,0.43521,33.62016,0.07875,0.07258,6.82335,3.24617,1693.71221,0.1,14.71,0.98167,0.22541,0.22541,0.19873,0.34524,0.25471,0.25157,397.162,0.34,0.362,0,0,0.362,0,0
0,998,20,500,0.08875,0.1225,3,3,2.9,2,2,2,36,1,1.52,0.0180545,0.5345,0.39747,45.61678,0.11699,0.07765,8.98781,2.78549,1418.06102,0.24,11.33,0.95192,0.22541,0.22541,0.19873,0.33995,0.25308,0.25033,418.725,0.361,0.369,0,0,0.369,0,0
0,1045,20,500,0.08875,0.1225,3,3,2.9,2,2,2,36,1,1.52,0.0180545,1.0312,0.67999,62.38249,0.09352,0.07601,17.70292,2.22366,1180.35554,0.2,11.93,0.91893,0.22541,0.22541,0.19873,0.33558,0.25207,0.24844,381.311,0.302,0.314,0,0,0.314,0,0
0,1052,20,500,0.08875,0.1225,3,3,2.9,2,2,2,36,1,1.52,0.0180545,0.5182,0.41381,50.58513,0.12461,0.05943,6.64182,2.17624,1281.62753,0.16,11.14,0.82079,0.22541,0.22541,0.19873,0.33918,0.25321,0.25025,390.594,0.318,0.332,0,0,0.332,0,0
0,2476,20,500,0.08875,0.1225,3,3,2.9,2,2,2,36,1,1.52,0.0180545,1.546,0.36627,70.20761,0.19539,0.0551,16.95212,4.11719,2750.56367,1.7,39.07,0.58492,0.22541,0.22541,0.19873,0.30293,0.24416,0.23517,278.648,0.201,0.211,0,0,0.211,0,0
0,2510,20,500,0.08875,0.1225,3,3,2.9,2,2,2,36,1,1.52,0.0180545,1.429,0.33066,81.03706,0.24983,0.07696,21.19063,8.21312,4268.57423,1.94,41.028,0.56262,0.22541,0.22541,0.19873,0.29819,0.24312,0.23313,279.695,0.2,0.204,0,0,0.204,0,0
0,2990,20,500,0.08875,0.1225,3,3,2.9,2,2,2,36,1,1.52,0.0180545,0.8415,0.494,56.16258,0.11589,0.06181,11.00453,6.76926,3686.52318,0.68,35.564,0.8686,0.22541,0.22541,0.19873,0.34821,0.25542,0.25384,407.978,0.346,0.378,0,0,0.378,0,0
0,3282,20,500,0.08875,0.1225,3,3,2.9,2,2,2,36,1,1.52,0.0180545,1.1888,0.32222,68.54745,0.21686,0.05707,12.07112,4.86884,2558.18179,1.48,21.616,0.62681,0.22541,0.22541,0.19873,0.29184,0.24146,0.23045,276.157,0.195,0.197,0,0,0.197,0,0
0,3285,20,500,0.08875,0.1225,3,3,2.9,2,2,2,36,1,1.52,0.0180545,1.0634,0.55373,69.09332,0.12719,0.07868,17.22096,8.48816,4020.61522,0.78,34.845,0.98092,0.22541,0.22541,0.19873,0.34519,0.25465,0.25256,405.05,0.343,0.349,0,0,0.349,0,0
0,3319,20,500,0.08875,0.1225,3,3,2.9,2,2,2,36,1,1.52,0.0180545,1.2023,0.45751,84.55813,0.1884,0.06145,15.00242,7.27355,4059.83503,0.94,38.08,0.83888,0.22541,0.22541,0.19873,0.33698,0.25307,0.24959,407.987,0.344,0.348,0,0,0.348,0,0
0,3749,20,500,0.08875,0.1225,3,3,2.9,2,2,2,36,1,1.52,0.0180545,0.6478,0.44077,67.62446,0.1564,0.09458,15.31657,3.8952,1876.39026,0.34,17.86,0.90515,0.22541,0.22541,0.19873,0.34984,0.25517,0.25283,448.82,0.4,0.407,0,0,0.407,0,0
0,4199,20,500,0.08875,0.1225,3,3,2.9,2,2,2,36,1,1.52,0.0180545,1.1607,0.29655,67.41968,0.23175,0.05829,12.40885,6.28079,3898.87191,1.64,33.48,0.62038,0.22541,0.22541,0.19873,0.29581,0.2423,0.23195,269.311,0.19,0.196,0,0,0.196,0,0
0,4455,20,500,0.08875,0.1225,3,3,2.9,2,2,2,36,1,1.52,0.0180545,0.458,0.38582,21.82997,0.05768,0.05352,4.65578,2.11664,1348.63836,0.12,12.45,0.85311,0.22541,0.22541,0.19873,0.34564,0.25468,0.2525,393.945,0.336,0.353,0,0,0.353,0,0
0,4458,20,500,0.08875,0.1225,3,3,2.9,2,2,2,36,1,1.52,0.0180545,0.6677,0.38747,44.70002,0.1176,0.07711,10.07204,4.41474,2330.54859,0.38,19.67,0.85542,0.22541,0.22541,0.19873,0.33365,0.25157,0.24774,357.266,0.302,0.339,0,0,0.339,0,0
0,4863,20,500,0.08875,0.1225,3,3,2.9,2,2,2,36,1,1.52,0.0180545,0.5093,0.34576,33.74547,0.09949,0.05994,7.41925,3.32128,1991.93991,0.16,22.06,0.89686,0.22541,0.22541,0.19873,0.33586,0.2524,0.2489,367.142,0.304,0.322,0,0,0.322,0,0
0,5117,20,500,0.08875,0.1225,3,3,2.9,2,2,2,36,1,1.52,0.0180545,0.9413,0.49741,54.25167,0.11118,0.04401,7.91705,7.96699,5235.1299,0.96,49.65,0.96506,0.22541,0.22541,0.19873,0.34532,0.25492,0.25284,409.473,0.344,0.348,0,0,0.348,0,0
0,5259,20,500,0.08875,0.1225,3,3,2.9,2,2,2,36,1,1.52,0.0180545,1.2169,0.34798,63.2058,0.18516,0.03675,8.6995,6.2423,4333.44688,1.26,47.14,0.56776,0.22541,0.22541,0.19873,0.30756,0.24552,0.23724,294.106,0.217,0.229,0,0,0.229,0,0
0,5470,20,500,0.08875,0.1225,3,3,2.9,2,2,2,36,1,1.52,0.0180545,0.8953,0.43745,80.26981,0.18705,0.04725,10.14236,8.39287,5262.83169,0.96,55.01,0.94583,0.22541,0.22541,0.19873,0.35208,0.25643,0.25547,436.346,0.381,0.382,0,0,0.382,0,0
0,5665,20,500,0.08875,0.1225,3,3,2.9,2,2,2,36,1,1.52,0.0180545,1.4795,0.40191,95.69703,0.24272,0.04227,15.28482,8.26049,5424.87591,0.82,55.1,0.82197,0.22541,0.22541,0.19873,0.34101,0.25375,0.25102,380.869,0.318,0.334,0,0,0.334,0,0
0,5676,20,500,0.08875,0.1225,3,3,2.9,2,2,2,36,1,1.52,0.0180545,1.0868,0.36297,64.30775,0.1806,0.03359,6.70954,3.42428,2456.76874,1.26,20.96,0.5642,0.22541,0.22541,0.19873,0.30091,0.24379,0.23431,296.296,0.218,0.226,0,0,0.226,0,0
0,5814,20,500,0.08875,0.1225,3,3,2.9,2,2,2,36,1,1.52,0.0180545,1.1555,0.43933,77.31974,0.1794,0.05299,17.36752,5.19233,3469.22218,0.44,46.93,0.82974,0.22541,0.22541,0.19873,0.34448,0.2545,0.25232,393.752,0.337,0.355,0,0,0.355,0,0
1,139,20,500,0.08875,0.1225,3,3,2.9,3,3,2,81,1,1.52,0.0180545,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11,0.89136,0.24282,0.24282,0.21219,0.38194,0.28085,0.27656,838.749,0.417,0.429,0,0,0.429,0,0
1,334,20,500,0.08875,0.1225,3,3,2.9,3,3,2,81,1,1.52,0.0180545,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.60533,0.24282,0.24282,0.21219,0.34603,0.27043,0.26042,614.285,0.258,0.253,0,0,0.258,0,0
1,410,20,500,0.08875,0.1225,3,3,2.9,3,3,2,81,1,1.52,0.0180545,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.64191,0.24282,0.24282,0.21219,0.37961,0.27896,0.27404,813.186,0.397,0.411,0,0,0.411,0,0
1,496,20,500,0.08875,0.1225,3,3,2.9,3,3,2,81,1,1.52,0.0180545,0.5113,0.54052,34.53304,0.06513,0.09349,8.53915,1.34355,635.35772,0.04,5.5425,0.83013,0.24282,0.24282,0.21219,0.34978,0.27316,0.26296,769.969,0.357,0.345,0,0,0.357,0,0
1,949,20,500,0.08875,0.1225,3,3,2.9,3,3,2,81,1,1.52,0.0180545,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,0.92111,0.24282,0.24282,0.21219,0.39896,0.28429,0.28211,944.85,0.492,0.486,0,0,0.492,0,0
1,960,20,500,0.08875,0.1225,3,3,2.9,3,3,2,81,1,1.52,0.0180545,0.6213,0.40079,35.57329,0.09048,0.08888,10.69833,2.43195,1118.51994,0.42,7.97,0.87422,0.24282,0.24282,0.21219,0.38808,0.28297,0.27911,907.834,0.467,0.47,0,0,0.47,0,0
