RSN,PGA (g),MIDR (%)
139,0.0,0.0
139,0.1,0.323
139,0.2,0.677
139,0.3,0.996
139,0.4,1.444
139,0.5,1.964
139,0.6,1.839
139,0.7,2.173
139,0.8,2.676
139,0.9,3.82
139,1.0,5.081
334,0.0,0.0
334,0.1,0.84
334,0.2,2.56
334,0.3,7.756
410,0.0,0.0
410,0.1,0.266
410,0.2,0.483
410,0.3,0.804
410,0.4,1.077
410,0.5,1.786
410,0.6,2.279
410,0.7,2.41
410,0.8,2.513
410,0.9,2.72
410,1.0,3.059
410,1.1,3.296
410,1.2,3.378
410,1.3,4.445
496,0.0,0.0
496,0.1,0.249
496,0.2,0.487
496,0.3,0.676
496,0.4,1.005
496,0.5,1.61
496,0.6,1.846
496,0.7,2.442
496,0.8,2.851
496,0.9,3.322
496,1.0,3.647
496,1.1,3.881
496,1.2,4.057
949,0.0,0.0
949,0.1,0.366
949,0.2,0.87
949,0.3,1.596
949,0.4,2.499
949,0.5,3.589
949,0.6,4.707
960,0.0,0.0
960,0.1,0.581
960,0.2,1.16
960,0.3,1.51
960,0.4,2.032
960,0.5,2.288
960,0.6,3.751
960,0.7,5.942
962,0.0,0.0
962,0.1,0.6
962,0.2,2.266
962,0.3,2.771
962,0.4,3.829
962,0.5,5.457
990,0.0,0.0
990,0.1,0.345
990,0.2,0.689
990,0.3,1.092
990,0.4,1.292
990,0.5,2.002
990,0.6,1.78
990,0.7,2.617
990,0.8,3.172
990,0.9,3.465
990,1.0,3.886
990,1.1,4.358
998,0.0,0.0
998,0.1,0.427
998,0.2,1.197
998,0.3,2.229
998,0.4,2.92
998,0.5,3.711
998,0.6,4.991
1045,0.0,0.0
1045,0.1,0.246
1045,0.2,0.569
1045,0.3,0.953
1045,0.4,1.566
1045,0.5,2.603
1045,0.6,3.785
1045,0.7,4.954
1052,0.0,0.0
1052,0.1,0.292
1052,0.2,0.66
1052,0.3,0.95
1052,0.4,1.319
1052,0.5,2.156
1052,0.6,2.544
1052,0.7,2.48
1052,0.8,2.473
1052,0.9,2.743
1052,1.0,3.035
1052,1.1,3.471
1052,1.2,3.937
1052,1.3,4.392
2476,0.0,0.0
2476,0.1,0.461
2476,0.2,1.682
2476,0.3,3.552
2476,0.4,6.915
2510,0.0,0.0
2510,0.1,0.673
2510,0.2,1.723
2510,0.3,4.592
2990,0.0,0.0
2990,0.1,0.393
2990,0.2,1.467
2990,0.3,2.35
2990,0.4,4.272
3282,0.0,0.0
3282,0.1,0.691
3282,0.2,2.102
3282,0.3,7.084
3285,0.0,0.0
3285,0.2,1.088
3285,0.3,1.855
3285,0.4,2.813
3285,0.5,3.645
3285,0.6,6.192
3319,0.0,0.0
3319,0.2,1.573
3319,0.3,3.261
3319,0.4,5.103
3749,0.0,0.0
3749,0.2,1.014
3749,0.3,1.62
3749,0.4,1.946
3749,0.5,2.482
3749,0.6,3.798
3749,0.7,4.565
4199,0.0,0.0
4199,0.2,2.644
4199,0.3,5.557
4455,0.0,0.0
4455,0.2,0.675
4455,0.3,1.045
4455,0.4,1.461
4455,0.5,2.233
4455,0.6,2.536
4455,0.7,2.984
4455,0.8,3.019
4455,0.9,3.339
4455,1.0,3.692
4455,1.1,4.069
4458,0.0,0.0
4458,0.2,1.445
4458,0.3,1.944
4458,0.4,2.454
4458,0.5,3.155
4458,0.6,4.197
4863,0.0,0.0
4863,0.2,0.747
4863,0.3,1.276
4863,0.4,1.762
4863,0.5,2.141
4863,0.6,2.287
4863,0.7,2.823
4863,0.8,3.186
4863,0.9,3.495
4863,1.0,3.513
4863,1.1,4.561
5117,0.0,0.0
5117,0.2,1.1
5117,0.3,2.368
5117,0.4,3.544
5117,0.5,5.185
5470,0.0,0.0
5470,0.2,1.391
5470,0.3,2.858
5470,0.4,3.521
5470,0.5,4.77
5665,0.0,0.0
5665,0.2,1.867
5665,0.3,3.898
5665,0.4,6.671
5676,0.0,0.0
5676,0.2,1.469
5676,0.3,3.58
5676,0.4,6.884
5814,0.0,0.0
5814,0.2,0.981
5814,0.3,1.535
5814,0.4,2.286
5814,0.5,3.273
5814,0.6,4.363
