Sample no,fc (MPa),fy (MPa),Beam Area (m2),Col Area (m2),Bay Width X (m),Bay Width Y (m),Bay Width Z (m),No of bay X,No of bay Y,No of bay Z,Area (m2)
0,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12
1,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12
2,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12
3,15,415,0.07475,0.0529,3.6,2.6,2.75,5,2,2,93.6
4,15,415,0.07475,0.0529,3.6,2.6,3,5,2,2,93.6
5,15,415,0.07475,0.0529,3.6,2.6,3.2,5,2,2,93.6
6,15,415,0.07475,0.0529,2.6,2.6,2.75,5,2,2,67.6
7,15,415,0.07475,0.0529,2.6,2.6,3,5,2,2,67.6
8,15,415,0.07475,0.0529,2.6,2.6,3.2,5,2,2,67.6
9,15,415,0.07475,0.0529,2.6,3.6,2.75,5,2,2,93.6
10,15,415,0.07475,0.0529,2.6,3.6,3,5,2,2,93.6
11,15,415,0.07475,0.0529,2.6,3.6,3.2,5,2,2,93.6
12,15,415,0.07475,0.0529,4.5,2.6,2.75,4,2,2,93.6
13,15,415,0.07475,0.0529,4.5,2.6,3,4,2,2,93.6
14,15,415,0.07475,0.0529,4.5,2.6,3.2,4,2,2,93.6
15,15,415,0.07475,0.0529,3.6,2.6,2.75,4,2,2,74.88
16,15,415,0.07475,0.0529,3.6,2.6,3,4,2,2,74.88
17,15,415,0.07475,0.0529,3.6,2.6,3.2,4,2,2,74.88
18,15,415,0.07475,0.0529,2.6,3.6,2.75,4,2,2,74.88
19,15,415,0.07475,0.0529,2.6,3.6,3,4,2,2,74.88
20,15,415,0.07475,0.0529,2.6,3.6,3.2,4,2,2,74.88
21,15,415,0.07475,0.0529,2.6,2.6,2.75,4,3,2,81.12
22,15,415,0.07475,0.0529,2.6,2.6,3,4,3,2,81.12
23,15,415,0.07475,0.0529,2.6,2.6,3.2,4,3,2,81.12
24,15,415,0.07475,0.0529,2.6,4.5,2.75,4,2,2,93.6
25,15,415,0.07475,0.0529,2.6,4.5,3,4,2,2,93.6
26,15,415,0.07475,0.0529,2.6,4.5,3.2,4,2,2,93.6
27,15,415,0.07475,0.0529,4.5,2.6,2.75,3,2,2,70.2
28,15,415,0.07475,0.0529,4.5,2.6,3,3,2,2,70.2
29,15,415,0.07475,0.0529,4.5,2.6,3.2,3,2,2,70.2
30,15,415,0.07475,0.0529,4.5,3.6,2.75,3,2,2,97.2
31,15,415,0.07475,0.0529,4.5,3.6,3,3,2,2,97.2
32,15,415,0.07475,0.0529,4.5,3.6,3.2,3,2,2,97.2
33,15,415,0.07475,0.0529,3.6,3.6,2.75,3,2,2,77.76
34,15,415,0.07475,0.0529,3.6,3.6,3,3,2,2,77.76
