PGA (g),PoE (IO CCP),PoE (IO Experimental),PoE (IO NBC 205 2024),PoE (LS CCP),PoE (LS Experimental),PoE (LS NBC 205 2024),PoE (CP CCP),PoE (CP Experimental),PoE (CP NBC 205 2024)
0,3.01E-181,1.53E-240,0,8.43E-190,1.98E-81,0,5.53E-133,9.30E-65,0
0.002002002002,6.39E-27,1.78E-39,6.12E-163,4.69E-32,1.05E-16,2.28E-114,1.92E-25,3.27E-15,4.60E-78
0.004004004004,8.04E-20,9.23E-30,2.98E-122,2.30E-24,2.48E-13,9.73E-89,6.07E-20,1.73E-12,6.53E-62
0.006006006006,3.32E-16,9.62E-25,3.42E-101,2.21E-20,1.49E-11,2.81E-75,4.67E-17,4.92E-11,2.37E-53
0.008008008008,7.05E-14,1.76E-21,1.77E-87,8.71E-18,2.24E-10,2.06E-66,3.70E-15,4.60E-10,1.12E-47
0.01001001001,3.28E-12,4.05E-19,1.54E-77,6.63E-16,1.64E-09,6.27E-60,9.07E-14,2.40E-09,1.68E-43
0.01201201201,6.17E-11,2.67E-17,7.12E-70,1.88E-14,7.71E-09,6.94E-55,1.09E-12,8.79E-09,3.09E-40
0.01401401401,6.40E-10,7.73E-16,1.04E-63,2.77E-13,2.71E-08,8.47E-51,8.17E-12,2.54E-08,1.40E-37
0.01601601602,4.36E-09,1.25E-14,1.31E-58,2.57E-12,7.78E-08,2.17E-47,4.38E-11,6.19E-08,2.35E-35
0.01801801802,2.19E-08,1.32E-13,2.73E-54,1.69E-11,1.91E-07,1.74E-44,1.83E-10,1.33E-07,1.88E-33
0.02002002002,8.70E-08,9.99E-13,1.43E-50,8.62E-11,4.17E-07,5.72E-42,6.34E-10,2.60E-07,8.52E-32
0.02202202202,2.87E-07,5.85E-12,2.52E-47,3.57E-10,8.30E-07,9.32E-40,1.89E-09,4.69E-07,2.46E-30
0.02402402402,8.20E-07,2.79E-11,1.86E-44,1.25E-09,1.53E-06,8.59E-38,4.97E-09,7.96E-07,4.92E-29
0.02602602603,2.07E-06,1.12E-10,6.66E-42,3.84E-09,2.65E-06,4.96E-36,1.18E-08,1.28E-06,7.28E-28
0.02802802803,4.75E-06,3.90E-10,1.32E-39,1.05E-08,4.37E-06,1.94E-34,2.59E-08,1.98E-06,8.38E-27
