PGA (g),PoE(IO),PoE(LS),PoE(CP)
0.0,0.0,0.0,0.0
0.002002002002002002,6.124464890548402e-163,2.2750839347208846e-114,4.59615735401244e-78
0.004004004004004004,2.9778649466576986e-122,9.727129031603631e-89,6.528507738379293e-62
0.006006006006006006,3.415959688751626e-101,2.8092574302268427e-75,2.369385881671291e-53
0.008008008008008008,1.7749094433359733e-87,2.0574287609742597e-66,1.122879850841e-47
0.01001001001001001,1.5384629344861597e-77,6.273734740466177e-60,1.6810759144812495e-43
0.012012012012012012,7.122268828329458e-70,6.942080247138195e-55,3.08863138420639e-40
0.014014014014014014,1.0352964004129608e-63,8.47110287490629e-51,1.4006156233683188e-37
0.016016016016016016,1.310017601789491e-58,2.167093057291817e-47,2.350039301153918e-35
0.018018018018018018,2.728962800125811e-54,1.7389332145159804e-44,1.8817387291027753e-33
0.02002002002002002,1.4286065933584407e-50,5.723791078532077e-42,8.521726092527117e-32
0.022022022022022022,2.5218411226272914e-47,9.31832355637315e-40,2.4575938702475974e-30
0.024024024024024024,1.8556744423693542e-44,8.590415648071053e-38,4.9186125192868284e-29
0.026026026026026026,6.663259619372543e-42,4.960183545006454e-36,7.284303263105357e-28
0.028028028028028028,1.3163874287306234e-39,1.9374138433037514e-34,8.384097170832237e-27
0.03003003003003003,1.5707914209506988e-37,5.435676867760488e-33,7.792668627802339e-26
0.03203203203203203,1.2189185257414546e-35,1.1488843636829058e-31,6.029772980923074e-25
0.03403403403403403,6.527507939739761e-34,1.9009003867998825e-30,3.980809040225154e-24
0.036036036036036036,2.531965421441892e-32,2.5404857786343444e-29,2.2878324835828386e-23
0.03803803803803804,7.403569796976645e-31,2.814490374928227e-28,1.1638076348376414e-22
0.04004004004004004,1.687117711498684e-29,2.641222585653154e-27,5.31350502915854e-22
0.04204204204204204,3.081241769524314e-28,2.1382291833575732e-26,2.2030333839533237e-21
0.044044044044044044,4.618450829711859e-27,1.51664018548007e-25,8.377990280796533e-21
0.04604604604604605,5.797971260344577e-26,9.551243168673925e-25,2.94753321360492e-20
0.04804804804804805,6.20381157305239e-25,5.402116114687876e-24,9.664769899709635e-20
0.050050050050050046,5.744129850242348e-24,2.7715070227049285e-23,2.9725659639761947e-19
0.05205205205205205,4.663464113004366e-23,1.3010369050790685e-22,8.624230331573771e-19
0.05405405405405406,3.3584439373035175e-22,5.631155934614668e-22,2.371940826734533e-18
0.056056056056056056,2.1674011981292136e-21,2.2623636262429136e-21,6.211221893740072e-18
0.058058058058058054,1.2648201079984598e-20,8.487394930716629e-21,1.5546088350545613e-17
0.06006006006006006,6.7280066958624e-20,2.98908974529735e-20,3.731933697709738e-17
0.062062062062062065,3.285614817711926e-19,9.929240817965274e-20,8.618964299788558e-17
0.06406406406406406,1.4825149783364648e-18,3.1243034189657635e-19,1.9203803653292764e-16
0.06606606606606606,6.216289656828343e-18,9.347879803023355e-19,4.1382219066611867e-16
0.06806806806806806,2.4348064086501895e-17,2.6686828896691043e-18,8.643977769579046e-16
0.07007007007007007,8.95023223466618e-17,7.292295278317449e-18,1.7537765421254722e-15
0.07207207207207207,3.10089283707774e-16,1.912712227234903e-17,3.4625996831520306e-15
0.07407407407407407,1.0164832273525275e-15,4.828113977389755e-17,6.663968955426815e-15
0.07607607607607608,3.1637687106885477e-15,1.175640165606593e-16,1.2520974694962369e-14
