RSN,PGA (g),MIDR (%)
139,0.0,0.0
139,0.2,0.515
139,0.4,1.042
139,0.6,1.641
139,0.8,2.033
139,1.0,2.374
139,1.2,2.654
139,1.4,3.139
139,1.6,3.746
139,1.8,4.451
334,0.0,0.0
334,0.2,0.861
334,0.4,1.918
334,0.6,4.123
410,0.0,0.0
410,0.2,0.478
410,0.4,1.089
410,0.6,1.519
410,0.8,1.854
410,1.0,2.249
410,1.2,2.699
410,1.4,3.137
410,1.6,3.412
410,1.8,3.556
410,2.0,3.713
496,0.0,0.0
496,0.2,0.308
496,0.4,0.934
496,0.6,1.141
496,0.8,1.684
496,1.0,2.316
496,1.2,2.897
496,1.4,3.343
496,1.6,3.627
496,1.8,3.79
496,2.0,3.938
949,0.0,0.0
949,0.2,0.412
949,0.4,1.261
949,0.6,1.659
949,0.8,2.975
949,1.0,4.37
960,0.0,0.0
960,0.2,0.553
960,0.4,1.444
960,0.6,2.178
960,0.8,3.388
960,1.0,4.303
962,0.0,0.0
962,0.2,0.556
962,0.4,1.417
962,0.6,3.032
962,0.8,4.945
990,0.0,0.0
990,0.2,0.482
990,0.4,1.045
990,0.6,1.394
990,0.8,1.775
990,1.0,2.349
990,1.2,3.077
990,1.4,3.692
990,1.6,4.205
998,0.0,0.0
998,0.2,0.48
998,0.4,1.312
998,0.6,2.278
998,0.8,3.36
998,1.0,4.51
1045,0.0,0.0
1045,0.2,0.224
1045,0.4,0.661
1045,0.6,1.176
1045,0.8,1.603
1045,1.0,2.333
1045,1.2,3.298
1045,1.4,4.55
1052,0.0,0.0
1052,0.2,0.453
1052,0.4,1.066
1052,0.6,1.547
1052,0.8,2.255
1052,1.0,2.978
1052,1.2,3.676
1052,1.4,4.232
2476,0.0,0.0
2476,0.2,0.395
2476,0.4,1.093
2476,0.6,2.55
2476,0.8,4.352
2510,0.0,0.0
2510,0.2,0.645
2510,0.4,1.489
2510,0.6,3.255
2510,0.8,5.806
2990,0.0,0.0
2990,0.2,0.459
2990,0.4,1.461
2990,0.6,1.839
2990,0.8,2.775
2990,1.0,4.677
3282,0.0,0.0
3282,0.2,0.749
3282,0.4,2.14
3282,0.6,4.517
3285,0.0,0.0
3285,0.2,0.36
3285,0.4,1.073
3285,0.6,1.934
3285,0.8,2.611
3285,1.0,4.212
3319,0.0,0.0
3319,0.2,0.569
3319,0.4,1.189
3319,0.6,2.16
3319,0.8,3.417
3319,1.0,5.998
3749,0.0,0.0
3749,0.2,0.459
3749,0.4,1.232
3749,0.6,1.891
3749,0.8,2.481
3749,1.0,2.971
3749,1.2,3.318
3749,1.4,3.859
3749,1.6,5.155
4199,0.0,0.0
4199,0.2,0.794
4199,0.4,1.6
4199,0.6,3.304
4199,0.8,5.906
4455,0.0,0.0
4455,0.2,0.47
4455,0.4,1.004
4455,0.6,1.856
4455,0.8,1.929
4455,1.0,2.374
4455,1.2,2.903
4455,1.4,3.561
4455,1.6,4.364
4458,0.0,0.0
4458,0.2,0.575
4458,0.4,1.489
4458,0.6,2.246
4458,0.8,3.219
4458,1.0,3.779
4458,1.2,4.864
4863,0.0,0.0
4863,0.2,0.66
4863,0.4,1.354
4863,0.6,2.007
4863,0.8,2.699
4863,1.0,2.643
4863,1.2,3.338
4863,1.4,3.873
4863,1.6,4.316
5117,0.0,0.0
5117,0.2,0.425
5117,0.4,1.177
5117,0.6,1.859
5117,0.8,2.236
5117,1.0,4.056
5259,0.0,0.0
5259,0.2,0.536
5259,0.4,1.818
5259,0.6,4.395
5470,0.0,0.0
5470,0.2,0.491
5470,0.4,1.434
5470,0.6,2.093
5470,0.8,3.322
5470,1.0,4.087
5665,0.0,0.0
5665,0.2,0.535
5665,0.4,1.402
5665,0.6,3.13
5665,0.8,5.748
5676,0.0,0.0
5676,0.2,0.487
5676,0.4,1.38
5676,0.6,2.18
5676,0.8,4.658
5814,0.0,0.0
5814,0.2,0.479
5814,0.4,1.484
5814,0.6,2.034
5814,0.8,2.555
5814,1.0,4.094
